,dataset,question,answer,Base_test,comparison
0,triviaQA_un,Which fictional character's first name was Endeavour?,inspector morse,"Endeavour was the first character to be created by the author of the novel ""The Secret of NIMH""",F
1,triviaQA_un,Who was the queen of the Brigantes who handed Caractacus over to the Romans?,cartimandua,Brigantes were a tribe of Celtic people who lived in the area of modern-day Ireland,F
2,triviaQA_un,The Egyptian god Bastet had the head of which animal?,cat,The head of a lion,F
3,triviaQA_un,"Which 20th century novel contains the characters Tom Robinson, Dill and Calpurnia?",to kill mockingbird,"The characters Tom Robinson, Dill and Calpurnia were all fictional",F
4,triviaQA_un,Which Jane Austen novel features Mr Knightley and Frank Churchill?,emma,Jane Austen's novel features Mr Knightley and Frank Churchill,F
5,triviaQA_un,Little Nell is a character in which Dickens novel?,old curiosity shop,"Little Nell is a character in the novel ""Little Nell"" by Charles Dickens",F
6,triviaQA_un,"In fiction, who lives at 4 Privet Drive, Little Whinging?",harry potter,"The character of the character lives at 4 Privet Drive, Little Whinging",F
7,triviaQA_un,Which fictional character lived in the village of Puddleby-on-the-Marsh?,dr doolittle,The village of Puddleby-on-the-Marsh was a fictional character,F
8,triviaQA_un,"In fiction, at what address did housekeeper Mrs Hudson live?",221b baker street,"Mrs Hudson lived at the address of the housekeeper in the novel ""Housekeeper""",F
9,triviaQA_un,"Who, in literary fiction, were Peter, Phyllis and Roberta?",railway children,"Peter, Phyllis and Roberta were fictional characters",F
10,triviaQA_un,"Name the science fiction author of 'I, Robot'.",isaac asimov,Isaac Asimov,T
11,triviaQA_un,"Who is the fictional detective, known as the female James Bond, created by Peter O'Donnell?",modesty blaise,"The fictional detective, known as the female James Bond, created by Peter O'Donnell",F
12,triviaQA_un,"In Greek mythology, Elektra was the daughter of which king?",agamemnon,The king of the underworld was the son of Elektra,F
13,triviaQA_un,Brer Rabbit stories originated as Cherokee myths but which author compiled the Brer Rabbit stories?,joel chandler harris,The Cherokee people were the first to use the Cherokee language,F
14,triviaQA_un,In Greek Mythology who was the Goddess of the Underworld?,persephone,The Goddess of the Underworld was the daughter of Zeus and Hera,F
15,triviaQA_un,"In Norse mythology, who was the consort of Odin?",freya,The consort of Odin was the goddess Freyja,F
16,triviaQA_un,What was the home of the gods in Norse mythology?,asgard,The home of the gods was in the land of the gods,F
17,triviaQA_un,What is the national epic poem of Finland (usually translated as 'Land of Heroes'). Sibelius set some of its myths to music in his tone poems.,kalevala,"The national epic poem of Finland is Sibelius' ""The Nightingale""",F
18,triviaQA_un,In Greek mythology who drowned while swimming the Hellespont?,leander,The hero of the Greek myth was a man who drowned while swimming the Hellespont,F
19,triviaQA_un,In Greek myth who was the mother of Oedipus?,jocasta,The mother of Oedipus was the wife of King Priam,F
20,triviaQA_un,In Greek mythology who was the wife of Odysseus?,penelope,Odysseus' wife was the daughter of the king of Ithaca,F
21,triviaQA_un,Which Greek mythological giant had 100 eyes?,argus,The first Greek mythological giant had 100 eyes,F
22,triviaQA_un,Which mythical creature had the head and body of a lion and eagles wings?,griffin,The mythical creature had the head and body of a lion and eagles wings,F
23,triviaQA_un,In Greek Mythology what was the name of the prophetess daughter of Priam whose predictions were never believed?,cassandra,Priam's daughter was called Priam's daughter,F
24,triviaQA_un,Who was the beautiful girl loved by Eros in Greek mythology? Her name means 'spirit' or 'life' in Greek.,psyche,Eros was the beautiful girl loved by Eros in Greek mythology,F
25,triviaQA_un,In Greek Mythology who was the ill-fated lover of Hero?,leander,The ill-fated lover of Hero was the son of Zeus,F
26,triviaQA_un,In mythology how long was Troy besieged?,10 years,"The siege of Troy lasted for about 2,000 years",F
27,triviaQA_un,"In Greek myth, who led the quest to find the Chrysomallos?",jason,The quest to find the Chrysomallos was led by a man named Phaedrus,F
28,triviaQA_un,"In Greek mythology, who was the goddess of the moon, sometimes identified as Artemis?",selene,Artemis was the goddess of the moon,F
29,triviaQA_un,"In Greek mythology who fell from Pegasus as he attempted to fly to Mount Olympus, the realm of the gods?",bellerophon,Pegasus fell from the sky as he attempted to fly to Mount Olympus,F
30,triviaQA_un,Who was the mother of the Greek mythological hero Perseus?,danae,Perseus was the son of Perseus and Andromeda,F
31,triviaQA_un,"Who, in an ancient myth, removed a thorn from a lion's paw?",androcles,The lion was removed from the paw of a man,F
32,triviaQA_un,"In Norse mythology, from what type of tree was man first created?",ash,The first tree was a birch tree,F
33,triviaQA_un,German Brothers Wilhelm and Jacob wrote which book in 1812?,grimms fairy tales,"Wilhelm and Jacob wrote the book ""The German Revolution""",F
34,triviaQA_un,"In the fairy tale ‘The Princess and the Pea’, how many mattresses did the princess sleep on and still feel the pea through?",twenty,The princess slept on three mattresses,F
35,triviaQA_un,Rashin-Coatie is the Scottish version of which fairy tale?,cinderella,The Rashin-Coatie is the Scottish version of which fairy tale?,F
36,triviaQA_un,Who wrote the 1973 novel ‘A Fairy Tale of New York’?,j p donleavy,The novel was written by a man named John Irving,F
37,triviaQA_un,Which Hans Christian Andersen fairy tale features 20 mattresses?,princess and pea,The story of the 20 mattresses is a fairy tale,F
38,triviaQA_un,"What is the surname of the famous German brother fairy tale writers, Jacob and Wilhelm?",grimm,Jacob and Wilhelm Grimm,T
39,triviaQA_un,"The 2013 Disney animation Frozen is based on what Hans Christian Andersen fairy tale, in Danish 'Snedronningen'?",snow queen,The 2013 Disney animated film Frozen is based on the fairy tale 'Snedronningen',F
40,triviaQA_un,Which German brothers published fairy tales in the 19th century?,grimm,The brothers Grimm published fairy tales in the 19th century,T
41,triviaQA_un,"""In the fairy tale """"Sleeping Beauty"""", who kissed the princess to wake her up?""",handsome prince,The princess kissed the prince to wake her up,F
42,triviaQA_un,"""Whose fairy tale """"The Snow Queen"""" was the inspiration for the movie """"Frozen""""?""",hans christian andersen,"The Snow Queen was inspired by the fairy tale """"The Snow Queen""""",F
43,triviaQA_un,"In fairy tales, who is Gretel's brother?",hansel,Gretel's brother is the prince of the fairy tale,F
44,triviaQA_un,What American fairy tale character fell asleep for twenty years?,rip van winkle,Cinderella,F
