,Question,Answer,Base_test,comparison
0,The Yalu river forms a sort of natural border between China and which of its neighbours?,north korea,The Yalu river forms a sort of natural border between China and which of its neighbours,F
1,Gjetost is the national cheese of which country?,norway,Gjetost is the national cheese of which country,F
2,What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,mallard,The steam locomotive which set the world speed record in July 1938 was the Great Western Railway's Great Western Class No. 1,F
3,"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol,Valerie Solanas shot and wounded as she entered her New York studio,F
4,Which is the highest waterfall in the world?,angel falls,The highest waterfall in the world is the waterfall at the top of the Grand Canyon,F
5,Which country was founded by Muhammed Ali Jinnah?,pakistan,Pakistan,T
6,Which Roman coin was equivalent in value to four sesterces?,denarius,The Roman coin was equivalent in value to four sesterces,F
7,Cathay is a poetic name for which country?,china,China,T
8,The region of Catalonia is part of which country?,spain,Catalonia is part of Spain,T
9,The Rio Grande forms the border of Texas with what other area?,Mexico,The Rio Grande forms the border of Texas with what other area?,F
10,What city will host the 2016 Olympics?,rio de janeiro,Los Angeles,F
11,The Kina is the monetary unit of which Oceania country?,papua new guinea,The Kina is the monetary unit of which Oceania country,F
12,Libya was a colony of which country from 1911 to 1947?,italy,Libya was a colony of which country from 1911 to 1947,F
13,Which city was the setting for Shakespeare’s play Measure for Measure?,vienna,The setting for Measure for Measure was in New York City,F
14,"In 1964, who became the youngest winner of the Nobel Peace Prize?",martin luther king,John F. Kennedy was the youngest winner of the Nobel Peace Prize,F
15,In which country was England Rugby Union player Dylan Hartley born?,new zealand,Dylan Hartley was born in England,F
16,In which country is the castle that gives the Habsburg dynasty its name?,switzerland,The castle that gives the Habsburg dynasty its name is in Austria,F
17,Wanlockhead is the highest village in which European country?,scotland,Wanlockhead is the highest village in which European country,F
18,"Said to be the birthplace of the rules of Association Football, Parker’s Piece is in which English city?",cambridge,Liverpool,F
19,Which Indian born author who lived from 1903 to 1950 had the real name Eric Arthur Blair ?,george orwell,"Eric Arthur Blair was the real name of the author of the book ""The Great Gatsby""",F
20,In what Sudan city was Gillian Gibbons imprisoned for the blasphemous naming of a teddy bear incident?,khartoum,"In the city of Khartoum, Sudan",T
21,Which team was the first to score a 'Golden Goal' in the soccer World Cup Finals?,france,The first team to score a 'Golden Goal' in the World Cup Finals was the United States,F
22,The Orinoco river meets the sea on which country's coast?,venezuela,The Orinoco river meets the sea on which country's coast,F
23,"""Whose motto is """"Je Maintiendrai""""?""",netherlands,"""Je Maintiendrai"" is a French phrase meaning ""I will maintain""",F
24,What gladiator famously led a slave revolt against Rome?,spartacus,The gladiator who led the slave revolt against Rome was a slave,F
25,In which US state is New Haven?,connecticut,New Haven is in Connecticut,T
26,In what year was the Battle of Stamford Bridge?,1066,The Battle of Stamford Bridge was fought in the year of 1347,F
27,Of which country is Manama the capital?,bahrain,Manama is the capital of Bahrain,T
28,In which modern country is the ancient city of Petra?,jordan,Petra is located in Jordan,T
