,dataset,question,answer,Base_test,comparison
0,triviaQA_un,Which fictional character's first name was Endeavour?,inspector morse,"Endeavour is a fictional character from the BBC's ""Doctor Who""",F
1,triviaQA_un,Who was the queen of the Brigantes who handed Caractacus over to the Romans?,cartimandua,"The queen of the Brigantes was Brigid, daughter of Brigid, daughter of Brigid",F
2,triviaQA_un,The Egyptian god Bastet had the head of which animal?,cat,The head of a goat,F
3,triviaQA_un,"Which 20th century novel contains the characters Tom Robinson, Dill and Calpurnia?",to kill mockingbird,"The novel is ""The Adventures of Tom Robinson"" by Charles Dickens",F
4,triviaQA_un,Which Jane Austen novel features Mr Knightley and Frank Churchill?,emma,Jane Austen's novel features Mr Knightley and Frank Churchill,F
5,triviaQA_un,Little Nell is a character in which Dickens novel?,old curiosity shop,"Little Nell is a character in the novel ""A Christmas Carol"" by Charles Dickens",F
6,triviaQA_un,"In fiction, who lives at 4 Privet Drive, Little Whinging?",harry potter,"The character lives at 4 Privet Drive, Little Whinging",F
7,triviaQA_un,Which fictional character lived in the village of Puddleby-on-the-Marsh?,dr doolittle,The character lived in the village of Puddleby-on-the-Marsh,F
8,triviaQA_un,"In fiction, at what address did housekeeper Mrs Hudson live?",221b baker street,Mrs Hudson lived at the address of the housekeeper,F
9,triviaQA_un,"Who, in literary fiction, were Peter, Phyllis and Roberta?",railway children,"Peter, Phyllis and Roberta were three of the four main characters in the novel ""The House of Mirth"" by John Irving",F
10,triviaQA_un,"Name the science fiction author of 'I, Robot'.",isaac asimov,Isaac Asimov,T
11,triviaQA_un,"Who is the fictional detective, known as the female James Bond, created by Peter O'Donnell?",modesty blaise,"The fictional detective, known as the female James Bond, created by Peter O'Donnell, is a fictional character created by O'Donnell",F
12,triviaQA_un,"In Greek mythology, Elektra was the daughter of which king?",agamemnon,Elektra was the daughter of which king,F
13,triviaQA_un,Brer Rabbit stories originated as Cherokee myths but which author compiled the Brer Rabbit stories?,joel chandler harris,"The Cherokee myths were compiled by the Cherokee chief named ""Brahman""",F
14,triviaQA_un,In Greek Mythology who was the Goddess of the Underworld?,persephone,"The Goddess of the Underworld was the daughter of the god of the sky, Zeus",F
15,triviaQA_un,"In Norse mythology, who was the consort of Odin?",freya,The consort of Odin was the goddess Freyja,F
16,triviaQA_un,What was the home of the gods in Norse mythology?,asgard,The home of the gods was the home of the gods,F
17,triviaQA_un,What is the national epic poem of Finland (usually translated as 'Land of Heroes'). Sibelius set some of its myths to music in his tone poems.,kalevala,"The national epic poem of Finland is the ""Sibelius""",F
18,triviaQA_un,In Greek mythology who drowned while swimming the Hellespont?,leander,Poseidon,F
19,triviaQA_un,In Greek myth who was the mother of Oedipus?,jocasta,The mother of Oedipus was the wife of King Priam,F
20,triviaQA_un,In Greek mythology who was the wife of Odysseus?,penelope,"She was the wife of Odysseus, the son of the god Zeus",F
21,triviaQA_un,Which Greek mythological giant had 100 eyes?,argus,The mythological giant had 100 eyes,F
22,triviaQA_un,Which mythical creature had the head and body of a lion and eagles wings?,griffin,The creature was a lion and an eagle,F
23,triviaQA_un,In Greek Mythology what was the name of the prophetess daughter of Priam whose predictions were never believed?,cassandra,"The name of the prophetess daughter of Priam's daughter was called ""Pytho""",F
24,triviaQA_un,Who was the beautiful girl loved by Eros in Greek mythology? Her name means 'spirit' or 'life' in Greek.,psyche,"The beautiful girl was the daughter of the king of the gods, and her name means 'spirit' or 'life' in Greek",F
25,triviaQA_un,In Greek Mythology who was the ill-fated lover of Hero?,leander,The hero was the son of Zeus and Hera,F
26,triviaQA_un,In mythology how long was Troy besieged?,10 years,"It was besieged for about 2,000 years",F
27,triviaQA_un,"In Greek myth, who led the quest to find the Chrysomallos?",jason,"The hero of the story was a man named ""Chrysomallos""",F
28,triviaQA_un,"In Greek mythology, who was the goddess of the moon, sometimes identified as Artemis?",selene,Artemis was the goddess of the moon,F
29,triviaQA_un,"In Greek mythology who fell from Pegasus as he attempted to fly to Mount Olympus, the realm of the gods?",bellerophon,The hero of the Greek myth of Pegasus falling from Pegasus,F
30,triviaQA_un,Who was the mother of the Greek mythological hero Perseus?,danae,Perseus was the son of Perseus and Andromeda,F
31,triviaQA_un,"Who, in an ancient myth, removed a thorn from a lion's paw?",androcles,The myth is about a lion who was trying to kill a man who was trying to kill a lion,F
32,triviaQA_un,"In Norse mythology, from what type of tree was man first created?",ash,The tree from which man was created was a birch tree,F
33,triviaQA_un,German Brothers Wilhelm and Jacob wrote which book in 1812?,grimms fairy tales,The book was written by Wilhelm and Jacob,F
34,triviaQA_un,"In the fairy tale ‘The Princess and the Pea’, how many mattresses did the princess sleep on and still feel the pea through?",twenty,The princess slept on four mattresses,F
35,triviaQA_un,Rashin-Coatie is the Scottish version of which fairy tale?,cinderella,"The Scottish version of the fairy tale is ""Rashin-Coatie""",F
36,triviaQA_un,Who wrote the 1973 novel ‘A Fairy Tale of New York’?,j p donleavy,It was written by a man named John Irving,F
37,triviaQA_un,Which Hans Christian Andersen fairy tale features 20 mattresses?,princess and pea,"The story is based on the story of the ""Merry Christmas""",F
