,question,answer,Base_test,comparison
0,"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol,Valerie Solanas shot and wounded as she entered her New York studio,F
1,"Which former Italian Prime Minister was kidnapped by The Red Brigade in 1978, and killed after 55 days in captivity?",aldo moro,"Silvio Berlusconi was kidnapped by The Red Brigade in 1978, and killed after 55 days in captivity",F
2,What was the first name of the mother of US President Barack Obama?,stanley,Michelle Obama,F
3,Which famous English highwayman was hanged for horse-stealing in April 1739?,dick turpin,John Wilkes was hanged for horse-stealing in April 1739,F
4,"In 1968, ‘The Troubles’ began in which European country between elements of the nationalist community and the unionist community?",northern ireland,The Troubles began in which European country between elements of the nationalist community and the unionist community,F
5,In January 1968 who was chosen as leader of the Communist Party in Czechoslovakia?,alexander dubcek,Vaclav Havel was chosen as leader of the Communist Party in Czechoslovakia,F
6,"In the year 1800, who was King of Great Britain and King of Ireland?",george iii,George III was King of Great Britain and King of Ireland,T
7,Where has Baroness Royall of Blaisdon led the opposition since May 2010?,house of lords,Baroness Royall of Blaisdon has led the opposition since May 2010,F
8,Which country was founded by Muhammed Ali Jinnah?,pakistan,Pakistan,T
9,"“Dreams from my father, a story of race and heritance” is about which politician?",barack obama,John Quincy Adams,F
10,What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,gillian gibbons,John F. Kennedy,F
11,"Which French chemist, regarded as the father of modern chemistry, was guillotined in 1794?",lavoisier,Louis Pasteur was guillotined in 1794,F
12,Which modern day country was known until 1981 as British Honduras?,belize,British Honduras was a British colony,F
13,In which month is the Gaelic festival of Beltane traditionally celebrated ?,may,Beltane is celebrated in the month of May,T
14,What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,general belgrano,"The name of the Argentine Navy cruiser was the ""Puerto Argentino""",F
15,What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,offering,Oblations are not related to a god,F
16,Tallinn is the capital of which country?,estonia,Tallinn is the capital of Estonia,T
17,At which castle was Mary Queen of Scots beheaded?,fotheringhay,At which castle was Mary Queen of Scots beheaded?,F
18,What is the capital of the U S state of Pennsylvania?,harrisburg,Harrisburg,T
19,What organisation was formed in 1670 when King Charles II of England granted a charter to Prince Rupert and others to give them large tracts of land and the trading rights over a large area?,hudson s bay company,The Royal Society was formed in 1670,F
20,"In which year was the first robbery for which it is known that Jesse James was responsible, of the Davies's County Savings Association in Gallatin, Missouri, during which Jesse shot and killed the cashier, Captain John Sheets?",1869,In 1856,F
21,"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",cardigan,Brudenell was the 7th Earl of what?,F
22,"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?""",andrew jackson,John Tyler was behind the Indian Removal Act,F
23,"What profession was Jean-Paul Marat, noted for his involvement in the French Revolution at the end of the 18th century?",journalist,Marat was a revolutionary,F
24,"Who supposedly chopped down a cherry tree, but couldn't lie about it?",george washington,The cherry tree was chopped down by a man named John Rolfe,F
25,"""On what """"railroad"""" was Harriet Tubman a conductor?""",underground railroad,Harriet Tubman was a conductor on the Underground Railroad,T
26,What is the name of George Galloway's political party?,respect,The name of the party is the Green Party,F
27,What was the original use of the building which now houses the Tate Modern Art Gallery in London?,bankside power station,The Tate Modern Art Gallery was built to house the Tate Gallery,F
28,"Who has children called Track, Bristol, Piper, Trig and Willow?",sarah palin,"Track, Bristol, Piper, Trig and Willow have children called Track, Bristol, Piper, Trig and Willow",F
29,Which post in England and Wales is held by Anne Owers?,chief inspector of prisons,The post in England and Wales is held by Anne Owers,F
30,"Edward Stanley served three terms as Prime Minister in the 19th century, he was known by what title?",earl of derby,"Edward Stanley served three terms as Prime Minister in the 19th century, he was known by what title",F
31,Who lead the enquiry into the Iraq war?,sir john chilcot,The Iraq war was led by General Douglas MacArthur,F
32,Which Aztec ruler was deposed by Cortez?,montezuma,Aztec ruler Aztec was deposed by Cortez,F
33,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",queen victoria,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",F
34,Libya was a colony of which country from 1911 to 1947?,italy,Libya was a colony of which country from 1911 to 1947,F
35,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,george iii,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain,F
36,Robert Gordon Menzies was which country's longest-serving Prime Minister?,australia,Robert Gordon Menzies was the longest-serving Prime Minister in the history of the United Kingdom,F
37,The revolutionary group the Sandinistas were active in which country?,nicaragua,The Sandinistas were active in Nicaragua,T
38,"The Prime Minister of Greece, Alexis Tsipras, is the leader of which political party?",syriza,The leader of the Greek political party is the Prime Minister of Greece,F
39,The 1810 betrothal of Princess Theresa to Crown Prince Ludwig not only resulted in the meadow where the event took place to be named Theresienwiese but also started what?,octoberfest,The 1810 betrothal of Princess Theresa to Crown Prince Ludwig not only resulted in the meadow where the event took place to be named Theresienwiese but also started what?,F
40,"Which coral atoll, the largest island in the Chagos Archipelago, was forcibly depopulated in 1971 to make way for a joint UK/USA military base?",diego garcia,The Chagos Archipelago was forcibly depopulated in 1971 to make way for a joint UK/USA military base,F
41,"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?",george blake,Alexander Litvinenko,F
42,"An American aided coup in Chile in 1973, deposed which President?",salvador allende,The American helped overthrow the Chilean government,F
43,Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?,south carolina,The first action of the Civil War took place in that state in April the following year,F
44,When Laurence Olivier became Baron Olivier where was he the Baron of,brighton," French?
A: Olivier was the Baron of the French",F
45,What name is given to the Spanish method of execution by strangulation,garotte,": The Spanish method of execution by strangulation is known as the ""death by strangulation""",F
