,Answer.NormalizedMatchedWikiEntityName,answer,question,Base_test,comparison
0,syriza,syriza,"The Prime Minister of Greece, Alexis Tsipras, is the leader of which political party?",The leader of the Greek Social Democratic Party,F
1,james hogg,james hogg,Which poet (1770-1835) was known as the Ettrick Shepherd?,William Blake,F
2,skylab,skylab,"In orbit from 1973 to 1979, what was the name of the first space station launched by NASA, which met a firey end over the Pacific Ocean (and parts of Western Australia), on July 11, 1979?","The name of the first space station launched by NASA was ""Eagle 1""",F
3,sudanese teddy bear blasphemy case,gillian gibbons,What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,"The name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed was ""Mohammed""",F
4,tonto s expanding head band,tonto,Which sidekick rode a horse called Scout ?,The sidekick rode a horse called Scout,F
5,scooby doo,scooby doo,In which children's TV series does Shaggy appear?,In which children's TV series does Shaggy appear?,F
6,charlie chan,charlie chan,Which literary character is the best known creation of the writer Earl Derr Biggers?,The best known creation of the writer Earl Derr Biggers is the character of the character of the character of the character of the character of the character of the character of the character of the character of the character of the character of the,F
7,spain,spain,From which country does 'Manchego' cheese come?,"From the Italian manchego, ""cheese""",F
8,pete best,pete best,Who was sacked as the Beatles' drummer and replaced by Ringo Starr?,It was John Lennon,F
9,james blunt,james blunt,‘Back to Bedlam’ was the debut album for which British singer?,The album was released in the UK in October 2007,F
10,manuel belgrano,general belgrano,What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,"The name of the Argentine Navy cruiser was ""La Casera""",F
11,wonderbra,wonder bra,What was advertised with Eva Herzagovia using the slogan hello boys?,"The slogan was ""hello boys""",F
12,renault,renault,Who makes or made the model of vehicle the Kangoo?,The model of vehicle the Kangoo was made by the American company that made the model of vehicle the Kangoo,F
13,house of lords,house of lords,Where has Baroness Royall of Blaisdon led the opposition since May 2010?,The opposition has been led by Baroness Royall since May 2010,F
14,cave,caves,"Spelunking is the exploration of what, especially as a hobby?","Spelunking is the exploration of what, especially as a hobby",F
15,bat,bat,The bumblebee or hog-nosed is the smallest mammal in the world - what is it?,The bumblebee or hog-nosed is the smallest mammal in the world,F
16,roy keane,roy keane,In the year 2000 Charity Shield match which player was sent off,: Wayne Rooney,F
17,elysian fields,elysian fields,"In Greek mythology, where do righteous souls go after death?",To Hades,F
18,charles darwin,charles darwin,Which famous scientist lived at Down house in Kent?,Albert Einstein,F
19,robert maxwell,robert maxwell,Who was the owner of Mirror Group newspapers who misused the pension fund,: The owner of Mirror Group newspapers was a man named John D. Rockefeller,F
20,crusades,crusades,Another name for the Holy Wars between the  Christian states of Europe against the Saracens, the Holy Wars of the Holy War,F
21,salvador allende,salvador allende,"An American aided coup in Chile in 1973, deposed which President?",The American aid was in the form of a loan,F
22,anita roddick,anita roddick,"Who founded the Body Shop, in the UK, in 1976?",The Body Shop was founded by a man named John Lydon,F
23,orion,orion,"Which constellation has, uniquely, in Rigel and Betelgeuse, two of the ten brightest stars?",Rigel is the brightest star in the constellation of Rigel,F
