,Answer.NormalizedMatchedWikiEntityName,answer,Question,Base_test,comparison
0,spartacus,spartacus,What gladiator famously led a slave revolt against Rome?,A: Spartacus was a gladiator who led a slave revolt against Rome,T
1,christianity,christianity,The Council of Trent in the 16th century was held between believers of what religious faith?,A: The Council of Trent was held between believers of the Roman Catholic faith,F
2,niagara falls,niagara falls,Matthew Webb swam the English Channel and then drowned swimming where?,A: Matthew Webb swam the English Channel and then drowned swimming in the Mediterranean Sea,F
3,tartaric acid,tartaric acid,Which acid is contained in Grapes?,A: There is no acid in grapes,F
4,turkey,turkey,"In 2006 Orhan Pamuk became the first Nobel Laureate from which country, when he won the literature prize?",A: Turkey,T
5,mark rothko,mark rothko,Which artist painted the 'Seagram Murals' which were originally commissioned by the Four Seasons Hotel in New York in 1958?,A: Andy Warhol painted the 'Seagram Murals' which were originally commissioned by the Four Seasons Hotel in New York in 1958,F
6,tamale,tamale,Which Mexican dish is a steamed corn husk filled with meat or vegetables coated in masa dough?,A: There's no one Mexican dish that is a steamed corn husk filled with meat or vegetables coated in masa dough,F
7,spain,spain,The region of Catalonia is part of which country?,A: Catalonia is not part of any country,F
8,robert stroud,robert stroud,What was the name of the 'Birdman of Alcatraz'?,A: The name of the 'Birdman of Alcatraz' is Robert Stroud,T
9,parkinson s disease,parkinson s disease,Which disease of the central nervous system is named after the Englishman who wrote 'An Essay on the Shaking Palsy'?,A: The disease of the central nervous system is named after the Englishman who wrote 'An Essay on the Shaking Palsy',F
10,socrates,socrates,Plato and Xenophon were both pupils of which Greek philosopher?,A: Socrates was a pupil of Plato and Xenophon was a pupil of Socrates,T
11,yellow brick road,yellow bricks,"According to L Frank Baum's 'The Wonderful Wizard of Oz', the Road to the City of Emeralds is paved with what?",A: The Road to the City of Emeralds is paved with emeralds,F
12,blackburn rovers f c,blackburn rovers,Which is the only team to have won football’s Premier League once and once only?,A: Manchester United has won the Premier League once and once only,F
13,robert boyle,robert boyle,Who gave his name to the scientific law that states that the pressure of a gas is inversely proportional to its volume at constant temperature?,A: Henry Cavendish,F
14,mantle,mantle,"Comprising around two-thirds of the Earth's mass , what is found between the core of the Earth and its crust ?",A: The core of the Earth is found between the crust and the mantle,T
15,torres strait,torres strait,What is the name of the strait between New Guinea and the Australian mainland?,A: The name of the strait between New Guinea and the Australian mainland is Torres Strait,T
16,maxwell,maxwell,"Named in honour of the Scottish physicist who presented the unified theory of electromagnetism, what is the CGS unit of magnetic flux?",A: The CGS unit of magnetic flux is the tesla,F
17,ned sherrin,ned sherrin,"Who was the deviser, producer and director 'That Was The Week That Was'?","A: David Frost was the deviser, producer and director 'That Was The Week That Was'",F
18,beetroot,beetroot,What is the main ingredient of borscht soup?,A: There's no main ingredient of borscht soup,F
19,kipps,kipps,The musical ‘Half a Sixpence’ was based on which 1905 novel?,A: The musical ‘Half a Sixpence’ was based on the novel ‘The Adventures of Tom Sawyer’,F
20,spain,spain,From which country does paella come, Spain is the country that paella comes from,T
21,copenhagen,copenhagen,The statue of the 'Little Mermaid' is in the harbour of which city?,A: The statue of the 'Little Mermaid' is in Copenhagen,T
22,madonna,madonna,Which singer had a number 1 hit album in 2008 entitled 'Hard Candy'?,A: Rihanna had a number 1 hit album in 2008 entitled 'Hard Candy',F
23,switzerland,switzerland,In which country is the castle that gives the Habsburg dynasty its name?,A: The castle that gives the Habsburg dynasty its name is in Austria,F
24,rick wakeman,rick wakeman,Who released an album entitled The Six Wives of Henry VIII?,A: The Six Wives of Henry VIII was released by the band Henry VIII,F
25,london,london,Canaletto is famous for his landscapes of Venice and which other city?,A: Canaletto is famous for his landscapes of Venice and Paris,F
26,pyotr ilyich tchaikovsky,pyotr tchaikovsky,Who composed the ballet ‘Swan Lake’?,A: The ballet ‘Swan Lake’ was composed by Tchaikovsky,F
27,e,e,"When suffix letters were first used on British car registration plates the letter was used for a calendar year, later, to suit the car industry, the letter changed on August 1 each year, which letter was consequently used for only seven months?","A: The letter ""A"" was used for the calendar year, and the letter ""B"" was used for the car industry",T
28,prime number,prime,What name is given to a positive whole number that can only be divided by 1 or itself?,A: A prime number is a positive whole number that can only be divided by 1 or itself,T
29,davros,davros,"Terry Molloy, David Gooderson and Julian Bleach have all portrayed which villain in the UK television series Dr Who?","A: Terry Molloy, David Gooderson and Julian Bleach have all portrayed the villain in the UK television series Dr Who",F
30,charlie parker,charlie parker,Which jazz saxophonist was nicknamed Bird, Charlie Parker was nicknamed Bird,T
31,raphael,raphael,The paintings entitled 'St. George and the Dragon' and 'Madonna with the Fish' are works by which Florentine master?,A: The paintings entitled 'St. George and the Dragon' and 'Madonna with the Fish' are works by Sandro Botticelli,F
32,united states,usa,"""Which country launched the space station """"Skylab"""" in 1973?""","A: The United States launched the space station """"Skylab"""" in 1973",F
33,pauline quirke,pauline quirke,Which actress played The Sculptress on TV?,A: There's no actress who played The Sculptress on TV,F
34,monkey puzzle,monkey puzzle,Araucaria araucana is the national tree of Chile. Although it is not a true pine it became known as the 'Chile Pine'. What is its current common English name?,A: The current common English name of the Chile Pine is Araucaria araucana,F
35,charlie chan,charlie chan,"What fictional Chinese-American detective, created by Earl Derr Biggers in 1923 for a novel published in 1925, was the subject of over 45 films made between 1926 and 1981?",A: Charlie Chan was the subject of over 45 films made between 1926 and 1981,T
36,countess from hong kong,countess from hong kong,"From which film, for which Chaplin film wrote the music, did Petula Clark have a Number One with 'This Is My Song'?","A: The music for ""The Gold Rush"" was written by Chaplin",F
37,steve miller band,steve miller band,"""""""Abracadabra"""" (1982) and """"The Joker"""" (1990) were big hits for which group?""",A: The Police were big hits for the Police,F
38,franz schubert,franz schubert,Which Austrian composer who lived from 1797 to 1828 was nicknamed ‘The Little Mushroom’?,A: Wolfgang Amadeus Mozart was nicknamed ‘The Little Mushroom’,F
39,milky way,local galaxy,What is the Milky Way?,A: The Milky Way is a galaxy in the universe,F
40,business,business,What is a group of ferrets called?,"A: A group of ferrets is called a ""flock""",F
41,james woods,james woods,"The American legal drama Shark ran from Sept 06 to May 08. Who starred in the title role, playing Sebastian Stark?",A: Sebastian Stark was played by James Woods,T
42,seabird,seabird,What kind of bird is a guillemot?,A: A guillemot is a seabird,T
43,sony,sony,Which company manufactures the Playstation video games console?,A: Sony manufactures the Playstation video games console,T
44,cretaceous,cretaceous,"What is the next in the series: Carboniferous, Permian, Triassic, Jurassic ?",A: The next in the series is the Cretaceous,T
45,stockholm,stockholm,"In the Norrmalmstorg bank robbery in 1973, employees were held hostage for a few days and became emotionally attached to their captors, and even defended them after they were freed from their six-day ordeal. In which city did this incident take place?","A: The Norrmalmstorg bank robbery took place in Stockholm, Sweden",T
46,goldie hawn,goldie hawn,Kurt Russell is the long term partner of which actress?,A: Kurt Russell is the long term partner of Goldie Hawn,T
47,joseph banks,joseph banks,"Who was the renowned English botanist who accompanied Capt. James Cook on his first voyage in 1768 and is credited with introducing Eucalyptus, Mimosa and Acacia to Europe?","A: Joseph Banks was the renowned English botanist who accompanied Capt. James Cook on his first voyage in 1768 and is credited with introducing Eucalyptus, Mimosa and Acacia to Europe",T
48,yardbirds,yardbirds,"For which group did Jimmy Page, and John Paul Jones play before they formed 'Led Zepplin'?",A: Jimmy Page and John Paul Jones played in the band 'The Yardbirds' before they formed 'Led Zepplin',T
49,jaws,jaws,"Which villain, played by Richard Kiel, appeared in two James Bond movies, 'The Spy Who Loved Me' and 'Moonraker'?","A: Jaws appeared in two James Bond movies, 'The Spy Who Loved Me' and 'Moonraker'",T
50,red,red,Vermillion is a shade of which colour?,A: Vermillion is not a shade of any colour,F
51,corfu,corfu,"Prince Philip, Duke of Edinburgh, was born on which island?","A: Prince Philip, Duke of Edinburgh, was born on the island of Corfu",T
52,mauretania,mauretania,Nouakchott is the capital of which Islamic African republic?,A: Mauritania is the capital of Mauritania,F
53,horse racing,horseracing,"Flemington, Greyville, and Longchamp are associated with what, respectively in Australia, South Africa, and France?","A: Flemington, Greyville, and Longchamp are associated with horse racing",F
54,baku,baku azerbaijan,Which city is sited on the Absheron Peninsula which juts into the Caspian Sea?,A: Baku is sited on the Absheron Peninsula which juts into the Caspian Sea,F
55,perfect storm disambiguation,perfect storm,The ship Andrea Gail features in which 1997 book and 2000 film?,"A: The ship Andrea Gail features in the 1997 book ""The Andromeda Strain"" and the 2000 film ""The Andromeda Strain""",F
56,supermarine,supermarine,Which company were responsible for the production of the Spitfire?,A: The Spitfire was produced by the British government,F
57,zadok priest,zadok priest,What is the name of the coronation anthem composed by Handel using texts from the King James Bible that has been sung at every British coronation service since 1727?,"A: The Coronation Anthem is ""Zadok the Priest""",F
58,stan wawrinka,stanislas wawrinka,Which Swiss tennis player won the men’s singles title at the 2014 Australian Open?,A: Roger Federer won the menâ€™s singles title at the 2014 Australian Open,F
