,index,Question,answer,Base_test,comparison
0,1,The Yalu river forms a sort of natural border between China and which of its neighbours?,north korea,A: The Yalu river forms a sort of natural border between China and North Korea,T
1,2,Gjetost is the national cheese of which country?,norway,A: Gjetost is the national cheese of Norway,T
2,3,What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,mallard,A: The name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline in,F
3,4,"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol,A: Andy Warhol was shot and wounded by Valerie Solanas in 1968,T
4,5,Which is the highest waterfall in the world?,angel falls,A: The highest waterfall in the world is Angel Falls in Venezuela,T
5,6,Which country was founded by Muhammed Ali Jinnah?,pakistan,A: Pakistan was founded by Muhammed Ali Jinnah,T
6,7,Which Roman coin was equivalent in value to four sesterces?,denarius,A: The denarius was equivalent in value to four sesterces,T
7,8,Cathay is a poetic name for which country?,china,A: Cathay is a poetic name for China,T
8,9,The region of Catalonia is part of which country?,spain,A: Catalonia is not part of any country,F
9,10,The Rio Grande forms the border of Texas with what other area?,Mexico,A: The Rio Grande forms the border of Texas with Mexico,T
10,11,What city will host the 2016 Olympics?,rio de janeiro,A: Rio de Janeiro will host the 2016 Olympics,T
11,12,The Kina is the monetary unit of which Oceania country?,papua new guinea,A: The Kina is the monetary unit of Fiji,F
12,13,Libya was a colony of which country from 1911 to 1947?,italy,A: Libya was a colony of Italy from 1911 to 1947,T
13,14,Which city was the setting for Shakespeare’s play Measure for Measure?,vienna,A: London was the setting for Shakespeare's play Measure for Measure,F
14,15,"In 1964, who became the youngest winner of the Nobel Peace Prize?",martin luther king,A: Martin Luther King Jr. became the youngest winner of the Nobel Peace Prize in 1964,T
15,16,In which country was England Rugby Union player Dylan Hartley born?,new zealand,A: Dylan Hartley was born in England,F
16,17,In which country is the castle that gives the Habsburg dynasty its name?,switzerland,A: The castle that gives the Habsburg dynasty its name is in Austria,F
17,18,Wanlockhead is the highest village in which European country?,scotland,A: Wanlockhead is the highest village in Scotland,T
18,19,"Said to be the birthplace of the rules of Association Football, Parker’s Piece is in which English city?",cambridge,A: Parker's Piece is in London,F
19,20,Which Indian born author who lived from 1903 to 1950 had the real name Eric Arthur Blair ?,george orwell,A: George Orwell is the author who lived from 1903 to 1950 and had the real name Eric Arthur Blair,T
20,21,In what Sudan city was Gillian Gibbons imprisoned for the blasphemous naming of a teddy bear incident?,khartoum,A: Khartoum is the capital of Sudan,T
21,22,Which team was the first to score a 'Golden Goal' in the soccer World Cup Finals?,france,A: The first team to score a 'Golden Goal' in the soccer World Cup Finals was West Germany in the final against Argentina,F
22,23,The Orinoco river meets the sea on which country's coast?,venezuela,A: The Orinoco river meets the sea in Venezuela,T
23,24,"""Whose motto is """"Je Maintiendrai""""?""",netherlands,"A: ""Je Maintiendrai"" is the motto of the French Foreign Legion",F
24,25,What gladiator famously led a slave revolt against Rome?,spartacus,A: Spartacus was a gladiator who led a slave revolt against Rome,T
25,26,In which US state is New Haven?,connecticut,A: New Haven is in Connecticut,T
26,27,In what year was the Battle of Stamford Bridge?,1066,A: The Battle of Stamford Bridge took place in 1066,T
27,28,Of which country is Manama the capital?,bahrain,A: Manama is the capital of Bahrain,T
28,29,In which modern country is the ancient city of Petra?,jordan,A: The ancient city of Petra is in Jordan,T
29,30,The battle of 'Flodden Field' took place in which English county?,northumberland,A: The battle of 'Flodden Field' took place in Northumberland,T
30,31,Nouakchott is the capital of which Islamic African republic?,mauretania,A: Mauritania is the capital of Mauritania,F
31,32,In which Canadian city is the Lion's Gate Bridge?,vancouver,A: Vancouver is the city where the Lion's Gate Bridge is located,T
32,33,"What nationality was Christian Barnard, the surgeon who performed the first human heart transplant?",south african,A: Barnard was a Canadian,F
33,34,"What was the 42nd state to join the Union on Nov 11, 1889?",washington,"A: Nevada was the 42nd state to join the Union on Nov 11, 1889",F
34,35,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,sinclair lewis,A: Sinclair Lewis won the Nobel Prize for Literature in 1930,T
35,36,From which country did Angola achieve independence in 1975?,portugal,A: Angola achieved independence in 1975 from Portugal,T
36,37,Which country does the airline Air Pacific come from?,fiji,A: Air Pacific is not a country,F
37,38,Which is the largest of the Japanese Volcano Islands?,iwo jima,A: Hokkaido is the largest of the Japanese Volcano Islands,F
38,39,In which country was Ursula Andrews born?,switzerland,A: Ursula Andrews was born in the UK,F
39,40,What is the former name of the People's Republic of Venin?,dohomey,A: The former name of the People's Republic of Venin is the People's Republic of Venin,F
40,41,Which country was called Upper Volta until 1984?,burkina faso,A: Upper Volta was called Burkina Faso until 1984,T
41,42,Who was the Egyptian king whose tomb an treasures were discovered in the Valley of the Kings in 1922?,tutankhamen,A: Tutankhamun was the Egyptian king whose tomb an treasures were discovered in the Valley of the Kings in 1922,F
42,43,On the border of which two countries is Victoria Falls?,zambia and zimbabwe,A: The border between Zambia and Zimbabwe is the border between Zambia and Zimbabwe,T
43,44,What is the name of the volcanic valley that runs from the Sinai peninsula to central Mozambique?,great rift valley,A: The Valley of the Kings is the name of the volcanic valley that runs from the Sinai peninsula to central Mozambique,F
44,45,What is the capital of Kenya?,nairobi,A: Nairobi is the capital of Kenya,T
45,46,Which country mainly makes up the Horn of Africa?,somalia,A: Ethiopia is the largest country in the Horn of Africa,F
46,47,What is the capital of Sierra Leone?,freetown,A: Freetown is the capital of Sierra Leone,T
47,48,Which country is the island of Zanzibar part of?,tanzania,A: Zanzibar is not part of any country,F
48,49,What is Africa's largest country?,Algeria,A: The largest country in Africa is South Africa,F
49,50,In which country did General Jaruzelski impose marital law in 1981?,poland,A: Poland is not in the EU,T
50,51,In which year was Bloody Sunday in Londonderry?,1972,A: Bloody Sunday in Londonderry occurred in 1972,T
51,52,In which decade of the 20th century was Father's Day first celebrated?,1910s,A: Father's Day was first celebrated in the 1970s,F
52,53,What is the native country of Agatha Chrisitie's detective Hercule Poirot?,belgium,A: Belgium is the native country of Agatha Christie's detective Hercule Poirot,T
53,54,Who was British Prime Minister when World War II broke out?,neville chamberlain,A: Winston Churchill was British Prime Minister when World War II broke out,F
54,55,To whom did the Bee Gees pay tribute in Tapestry Revisited?,carole king,A: They did not pay tribute to anyone in Tapestry Revisited,F
55,56,Who was Israeli Prime Minister from 1969 to 1974?,golda meir,A: Golda Meir was Israeli Prime Minister from 1969 to 1974,T
56,57,The Bourbon dynasty began to rule which country from 1700 and still do?,spain,A: The Bourbon dynasty began to rule France from 1700 and still do,F
57,58,Which Royal dynasty followed the Normans?,plantagenet,A: The House of Plantagenet is the Royal dynasty that followed the Normans,T
58,59,The Joseon Dynasty built the ‘Five Grand Palaces’ in which capital city?,seoul,A: The Joseon Dynasty built the ‘Five Grand Palaces’ in Seoul,T
59,60,King Richard III was the last of the Plantagenet dynasty and last king of which royal house?,house of york,A: King Richard III was the last of the Plantagenet dynasty and last king of the House of York,T
60,61,What is the family name of the ruling dynasty of Monaco?,grimaldi,A: The ruling dynasty of Monaco is the Grimaldi family,T
61,63,What is the current name of the country that was ruled by the Pahlavi dynasty from 1925 to 1979?,iran,A: Iran is the current name of the country that was ruled by the Pahlavi dynasty from 1925 to 1979,T
62,64,"The Romanov Dynasty (Peter I, Catherine I, Peter II, Anna, Ivan VI, Elizabeth, Peter III, Catherine II the Great, Paul I, Alexander I, Constantine I, Nicholas I, Alexander II , Alexander III and Nicholas II) ruled which country?",russia,A: Russia,T
63,65,What dynasty did King Henry VIII and Elizabeth I belong to?,tudors,A: The Tudor Dynasty,F
64,66,Which dynasty has ruled the Netherlands since 1815?,house of orange,A: The House of Orange has ruled the Netherlands since 1815,T
65,67,The Trưng Sisters who successfully rebelled against the Chinese Han-Dynasty in the 1st century AD are regarded as national heroines in which country?,vietnam,A: The TrÆ°ng Sisters who successfully rebelled against the Chinese Han-Dynasty in the 1st century AD are regarded as national,F
66,68,Which dynasty ruled China in the year 1AD?,Xia,A: The Han Dynasty ruled China in the year 1AD,F
