dataset,question,answer,
triviaQA,"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol,
triviaQA,"Which former Italian Prime Minister was kidnapped by The Red Brigade in 1978, and killed after 55 days in captivity?",aldo moro,
triviaQA,What was the first name of the mother of US President Barack Obama?,stanley,
triviaQA,Which famous English highwayman was hanged for horse-stealing in April 1739?,dick turpin,
triviaQA,"In 1968, ‘The Troubles’ began in which European country between elements of the nationalist community and the unionist community?",northern ireland,
triviaQA,In January 1968 who was chosen as leader of the Communist Party in Czechoslovakia?,alexander dubcek,
triviaQA,"In the year 1800, who was King of Great Britain and King of Ireland?",george iii,
triviaQA,Where has Baroness Royall of Blaisdon led the opposition since May 2010?,house of lords,
triviaQA,Which country was founded by Muhammed Ali Jinnah?,pakistan,
triviaQA,"“Dreams from my father, a story of race and heritance” is about which politician?",barack obama,
triviaQA,What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,gillian gibbons,
triviaQA,"Which French chemist, regarded as the father of modern chemistry, was guillotined in 1794?",lavoisier,
triviaQA,Which modern day country was known until 1981 as British Honduras?,belize,
triviaQA,In which month is the Gaelic festival of Beltane traditionally celebrated ?,may,
triviaQA,What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,general belgrano,
triviaQA,What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,offering,
triviaQA,Tallinn is the capital of which country?,estonia,
triviaQA,At which castle was Mary Queen of Scots beheaded?,fotheringhay,
triviaQA,What is the capital of the U S state of Pennsylvania?,harrisburg,
triviaQA,What organisation was formed in 1670 when King Charles II of England granted a charter to Prince Rupert and others to give them large tracts of land and the trading rights over a large area?,hudson s bay company,
triviaQA,"In which year was the first robbery for which it is known that Jesse James was responsible, of the Davies's County Savings Association in Gallatin, Missouri, during which Jesse shot and killed the cashier, Captain John Sheets?",1869,
triviaQA,"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",cardigan,
triviaQA,"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?""",andrew jackson,
triviaQA,"What profession was Jean-Paul Marat, noted for his involvement in the French Revolution at the end of the 18th century?",journalist,
triviaQA,"Who supposedly chopped down a cherry tree, but couldn't lie about it?",george washington,
triviaQA,"""On what """"railroad"""" was Harriet Tubman a conductor?""",underground railroad,
triviaQA,What is the name of George Galloway's political party?,respect,
triviaQA,What was the original use of the building which now houses the Tate Modern Art Gallery in London?,bankside power station,
triviaQA,"Who has children called Track, Bristol, Piper, Trig and Willow?",sarah palin,
triviaQA,Which post in England and Wales is held by Anne Owers?,chief inspector of prisons,
