,dataset,Question,answer,Base_test,comparison
0,triviaQA_un,Which fictional character's first name was Endeavour?,inspector morse,"A: Endeavour is a fictional character in the TV series ""The X-Files""",F
1,triviaQA_un,Who was the queen of the Brigantes who handed Caractacus over to the Romans?,cartimandua,A: Caractacus was a Brigante who handed Caractacus over to the Romans,F
2,triviaQA_un,The Egyptian god Bastet had the head of which animal?,cat,A: The head of a goat,F
3,triviaQA_un,"Which 20th century novel contains the characters Tom Robinson, Dill and Calpurnia?",to kill mockingbird,"A: The novel Tom Robinson, Dill and Calpurnia",F
4,triviaQA_un,Which Jane Austen novel features Mr Knightley and Frank Churchill?,emma,A: Jane Austen's Pride and Prejudice features Mr Knightley and Frank Churchill,F
5,triviaQA_un,Little Nell is a character in which Dickens novel?,old curiosity shop,A: Little Nell is a character in which Dickens novel,F
6,triviaQA_un,"In fiction, who lives at 4 Privet Drive, Little Whinging?",harry potter,"A: The character of the character lives at 4 Privet Drive, Little Whinging",F
7,triviaQA_un,Which fictional character lived in the village of Puddleby-on-the-Marsh?,dr doolittle,A: Puddleby-on-the-Marsh lived in the village of Puddleby-on-the-Marsh,F
8,triviaQA_un,"In fiction, at what address did housekeeper Mrs Hudson live?",221b baker street,A: Mrs Hudson lived at the address of the housekeeper in the novel,F
9,triviaQA_un,"Who, in literary fiction, were Peter, Phyllis and Roberta?",railway children,"A: Peter, Phyllis and Roberta were three of the most famous literary characters in the world",F
10,triviaQA_un,"Name the science fiction author of 'I, Robot'.",isaac asimov,A: Isaac Asimov,T
11,triviaQA_un,"Who is the fictional detective, known as the female James Bond, created by Peter O'Donnell?",modesty blaise,"A: The fictional detective, known as the female James Bond, created by Peter O'Donnell",F
12,triviaQA_un,"In Greek mythology, Elektra was the daughter of which king?",agamemnon,A: The king of Thebes,F
13,triviaQA_un,Brer Rabbit stories originated as Cherokee myths but which author compiled the Brer Rabbit stories?,joel chandler harris,A: The Cherokee myths were based on the Cherokee myths of the same name,F
14,triviaQA_un,In Greek Mythology who was the Goddess of the Underworld?,persephone,"A: The Goddess of the Underworld was the daughter of the god of the Underworld, Zeus",F
15,triviaQA_un,"In Norse mythology, who was the consort of Odin?",freya,"A: The consort of Odin was the daughter of the god of thunder, Thor",F
16,triviaQA_un,What was the home of the gods in Norse mythology?,asgard,A: The home of the gods was in Iceland,F
