,index,Question,answer,Base_test,comparison
0,1,The Yalu river forms a sort of natural border between China and which of its neighbours?,north korea,A: The Yalu river forms a sort of natural border between China and North Korea,T
1,2,Gjetost is the national cheese of which country?,norway,A: Gjetost is the national cheese of which country,F
2,3,What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,mallard,"A: The locomotive was named the ""Gustav""",F
3,4,"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol,A: The name of the radical feminist Valerie Solanas was shot and wounded as she entered her New York studio,F
4,5,Which is the highest waterfall in the world?,angel falls,A: The highest waterfall in the world is the waterfall at the top of the Eiffel Tower,F
5,6,Which country was founded by Muhammed Ali Jinnah?,pakistan,A: Pakistan,T
6,7,Which Roman coin was equivalent in value to four sesterces?,denarius,A: The coin was equivalent in value to four sesterces,F
7,8,Cathay is a poetic name for which country?,china,A: Cathay is a name for which country,F
8,9,The region of Catalonia is part of which country?,spain,A: Catalonia is part of Spain,T
9,10,The Rio Grande forms the border of Texas with what other area?,Mexico,A: The Rio Grande forms the border of Texas with what other area?,F
10,11,What city will host the 2016 Olympics?,rio de janeiro,A: The city that will host the 2016 Olympics is Los Angeles,F
11,12,The Kina is the monetary unit of which Oceania country?,papua new guinea,A: The Kina is the monetary unit of which Oceania country,F
12,13,Libya was a colony of which country from 1911 to 1947?,italy,A: Libya was a colony of which country from 1911 to 1947,F
13,14,Which city was the setting for Shakespeare’s play Measure for Measure?,vienna,A: London,F
14,15,"In 1964, who became the youngest winner of the Nobel Peace Prize?",martin luther king,A: John F. Kennedy,F
15,16,In which country was England Rugby Union player Dylan Hartley born?,new zealand,A: Dylan Hartley was born in England,F
16,17,In which country is the castle that gives the Habsburg dynasty its name?,switzerland,A: The castle that gives the Habsburg dynasty its name is the castle of the Habsburgs,F
17,18,Wanlockhead is the highest village in which European country?,scotland,A: Wanlockhead is the highest village in which European country,F
18,19,"Said to be the birthplace of the rules of Association Football, Parker’s Piece is in which English city?",cambridge,A: Liverpool,F
19,20,Which Indian born author who lived from 1903 to 1950 had the real name Eric Arthur Blair ?,george orwell,"A: Eric Arthur Blair was the real name of the author of ""The Great Gatsby""",F
20,21,In what Sudan city was Gillian Gibbons imprisoned for the blasphemous naming of a teddy bear incident?,khartoum,A: Gillian Gibbons was imprisoned for the blasphemous naming of a teddy bear incident,F
21,22,Which team was the first to score a 'Golden Goal' in the soccer World Cup Finals?,france,A: The first team to score a 'Golden Goal' in the soccer World Cup Finals was the United States,F
22,23,The Orinoco river meets the sea on which country's coast?,venezuela,A: Venezuela,T
23,24,"""Whose motto is """"Je Maintiendrai""""?""",netherlands,"A: ""Je Maintiendrai"" is a French phrase",F
24,25,What gladiator famously led a slave revolt against Rome?,spartacus,A: The gladiator was a slave revolt leader,F
25,26,In which US state is New Haven?,connecticut,"A: New Haven, Connecticut",T
26,27,In what year was the Battle of Stamford Bridge?,1066,A: The Battle of Stamford Bridge was fought in the year of 1353,F
27,28,Of which country is Manama the capital?,bahrain,A: Manama is the capital of Bahrain,T
28,29,In which modern country is the ancient city of Petra?,jordan,A: Petra is in Jordan,T
29,30,The battle of 'Flodden Field' took place in which English county?,northumberland,A: The battle of 'Flodden Field' took place in which English county?,F
30,31,Nouakchott is the capital of which Islamic African republic?,mauretania,A: Nouakchott is the capital of which Islamic African republic,F
31,32,In which Canadian city is the Lion's Gate Bridge?,vancouver,A: In which Canadian city is the Lion's Gate Bridge?,F
32,33,"What nationality was Christian Barnard, the surgeon who performed the first human heart transplant?",south african,A: Christian Barnard was a surgeon who performed the first human heart transplant,F
33,34,"What was the 42nd state to join the Union on Nov 11, 1889?",washington,A: The 42nd state to join the Union was the state of Indiana,F
34,35,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,sinclair lewis,A: Sinclair did not win the Nobel Prize for Literature in 1930,F
35,36,From which country did Angola achieve independence in 1975?,portugal,A: From which country did Angola achieve independence in 1975?,F
36,37,Which country does the airline Air Pacific come from?,fiji,A: The country of Air Pacific is Canada,F
37,38,Which is the largest of the Japanese Volcano Islands?,iwo jima,A: The largest of the Japanese Volcano Islands is the Kiso Island,F
38,39,In which country was Ursula Andrews born?,switzerland,A: In which country was Ursula Andrews born?,F
39,40,What is the former name of the People's Republic of Venin?,dohomey,A: The former name of the People's Republic of Venin is the People's Republic of Venin,F
40,41,Which country was called Upper Volta until 1984?,burkina faso,A: The country was called Upper Volta until 1984,F
41,42,Who was the Egyptian king whose tomb an treasures were discovered in the Valley of the Kings in 1922?,tutankhamen,A: The king was the pharaoh of the 18th Dynasty,F
42,43,On the border of which two countries is Victoria Falls?,zambia and zimbabwe,A: Victoria Falls is located in the state of New South Wales,F
43,44,What is the name of the volcanic valley that runs from the Sinai peninsula to central Mozambique?,great rift valley,"A: The name of the volcanic valley that runs from the Sinai peninsula to central Mozambique is the ""Mozambique Valley""",F
44,45,What is the capital of Kenya?,nairobi,A: The capital of Kenya is Nairobi,T
45,46,Which country mainly makes up the Horn of Africa?,somalia,"A: The Horn of Africa is made up of the countries of Ethiopia, Eritrea, Somalia, and Djibouti",T
46,47,What is the capital of Sierra Leone?,freetown,A: Sierra Leone is the capital of Sierra Leone,F
47,48,Which country is the island of Zanzibar part of?,tanzania,A: The island of Zanzibar is part of Tanzania,T
48,49,What is Africa's largest country?,Algeria,A: Africa is the largest country in Africa,F
