,index,Question,answer,Base_test,comparison
0,1,What is the name of the plastic bit on the end of shoelaces?,aglet,A: The name of the plastic bit on the end of shoelaces is the aglet,T
1,2,"""What does the word """"fine"""" mean on sheet music?""",end,"A: ""Fine"" means ""fine""",F
2,3,What fruit gets its name from its similarity to the locally native word for testicle?,avocado,A: The fruit gets its name from its similarity to the locally native word for testicle,F
3,4,"""What has been described as the """"fifth"""" taste, after sweet, sour, bitter, and salty?""",Unami,A: Umami is the fifth taste,F
4,5,"What is the meaning of the Arabic word 'Hezbollah', the Shi'ite Muslim group?",party of god,"A: The meaning of the Arabic word 'Hezbollah' is ""Party of God""",T
5,6,"Koh-I-Noor, as in the diamond, means what in English?",mountain of light,"A: Koh-I-Noor means ""Mountain of Light"" in English",T
6,7,What is a “Scotch Bonnet”?,chili pepper,A: A Scotch Bonnet is a type of chili pepper,T
7,8,What is Mexico's most commonly used language?,spanish,A: Spanish is the most commonly used language in Mexico,T
8,9,What is the Scottish word that applies to New Year's Eve?,hogmanay,A: There is no Scottish word that applies to New Year's Eve,F
9,10,The region of Catalonia is part of which country?,bengali,A: Catalonia is not part of any country,F
10,11,What do we call the vegetable called the rutabaga in America?,swede,A: We call the vegetable called the rutabaga in America a turnip,F
11,12,What is the official language of The Netherlands?,dutch,A: The official language of The Netherlands is Dutch,T
12,13,What word in our language comes from the Icelandic word for ‘to gush’?,geyser,A: The word ‘gush’ comes from the Icelandic word for ‘to gush’,F
13,14,What is the official language of Mozambique ?,portuguese,A: Mozambique has no official language,F
14,15,What is the official language of Brunei ?,malay,A: Malay is the official language of Brunei,T
15,16,What is the official language of Cambodia ?,khmer,A: Khmer is the official language of Cambodia,T
16,17,Which language is said to have been the mother tongue of Jesus?,aramaic,A: There is no language that was the mother tongue of Jesus,F
17,18,Which language gave us the word 'Germanic'?,latin,A: The language that gave us the word 'Germanic' is Proto-Germanic,F
18,19,Which wind has a name meaning ‘snow eater’ in American Indian language?,chinook,A: There is no wind with a name meaning ‘snow eater’ in American Indian language,F
19,20,"The three principal Uralic languages are Finnish, Estonian, and which other?",hungarian,"A: The three principal Uralic languages are Finnish, Estonian, and Hungarian",T
20,21,What letter is used the most often in English language and literature?,e,"A: The letter ""Q"" is used the most often in English language and literature",T
21,22,Which country's name in its own language is Druk Yul – i.e. 'Land of the Thunder Dragon'?,bhutan,A: Bhutan's name in its own language is Druk Yul,T
22,23,In which language does ‘Proost’ mean ‘Cheers’?,dutch,"A: In Dutch, ‘Proost’ means ‘Cheers’",T
