,Answer.NormalizedMatchedWikiEntityName,answer,question,Base_test,comparison
0,syriza,syriza,"The Prime Minister of Greece, Alexis Tsipras, is the leader of which political party?",A: The leader of the Greek Party of the Left,F
1,james hogg,james hogg,Which poet (1770-1835) was known as the Ettrick Shepherd?,A: The poet (1770-1835) was known as the Ettrick Shepherd,F
2,skylab,skylab,"In orbit from 1973 to 1979, what was the name of the first space station launched by NASA, which met a firey end over the Pacific Ocean (and parts of Western Australia), on July 11, 1979?","A: The name of the first space station launched by NASA was the ""Hercules""",F
3,sudanese teddy bear blasphemy case,gillian gibbons,What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,A: The name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed was Mr. Mohammed,F
4,tonto s expanding head band,tonto,Which sidekick rode a horse called Scout ?,A: Scout was a horse named Scout,F
5,scooby doo,scooby doo,In which children's TV series does Shaggy appear?,A: In which children's TV series does Shaggy appear?,F
6,charlie chan,charlie chan,Which literary character is the best known creation of the writer Earl Derr Biggers?,A: Earl Derr Biggers is the best known creation of the writer Earl Derr Biggers,F
7,spain,spain,From which country does 'Manchego' cheese come?,A: From which country does 'Manchego' cheese come?,F
8,pete best,pete best,Who was sacked as the Beatles' drummer and replaced by Ringo Starr?,A: The Beatles sacked Ringo Starr,F
9,james blunt,james blunt,‘Back to Bedlam’ was the debut album for which British singer?,A: Back to Bedlam was the debut album for which British singer,F
10,manuel belgrano,general belgrano,What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,"A: The name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War was ""La Cosa""",F
11,wonderbra,wonder bra,What was advertised with Eva Herzagovia using the slogan hello boys?,"A: Hello boys, I'm Eva Herzagovia",F
12,renault,renault,Who makes or made the model of vehicle the Kangoo?,A: The Kangoo is a model of vehicle made by the American company Kangoo,F
13,house of lords,house of lords,Where has Baroness Royall of Blaisdon led the opposition since May 2010?,A: Baroness Royall of Blaisdon led the opposition since May 2010,F
14,cave,caves,"Spelunking is the exploration of what, especially as a hobby?","A: Spelunking is the exploration of what, especially as a hobby",F
15,bat,bat,The bumblebee or hog-nosed is the smallest mammal in the world - what is it?,A: The bumblebee or hog-nosed is the smallest mammal in the world,F
16,roy keane,roy keane,In the year 2000 Charity Shield match which player was sent off, The player who was sent off was the player who scored the most goals,F
17,elysian fields,elysian fields,"In Greek mythology, where do righteous souls go after death?","A: In Greek mythology, righteous souls go to Elysium",F
18,charles darwin,charles darwin,Which famous scientist lived at Down house in Kent?,A: Albert Einstein,F
19,robert maxwell,robert maxwell,Who was the owner of Mirror Group newspapers who misused the pension fund, The owner of Mirror Group newspapers misused the pension fund,F
20,crusades,crusades,Another name for the Holy Wars between the  Christian states of Europe against the Saracens, The Holy Wars between the Christian states of Europe against the Saracens,F
21,salvador allende,salvador allende,"An American aided coup in Chile in 1973, deposed which President?","A: The American assisted coup in Chile in 1973, deposed which President?
A: The American assisted coup in Chile in 1973, deposed which President?",F
22,anita roddick,anita roddick,"Who founded the Body Shop, in the UK, in 1976?",A: The Body Shop was founded by a man named John Lister,F
23,orion,orion,"Which constellation has, uniquely, in Rigel and Betelgeuse, two of the ten brightest stars?",A: Rigel and Betelgeuse are two of the brightest stars in Rigel and Betelgeuse,F
24,goldtrail,goldtrail,Name the UK budget holiday company specialising in Turkey and Greece which went bust in July 2010?,A: The UK budget holiday company specialising in Turkey and Greece went bust in July 2010,F
25,el escorial,escorial,"Name the palace and monastery , situated some 25 miles north of Madrid, founded by King Phillip II of Spain?",A: The palace and monastery are located in the city of Madrid,F
26,dakota,dakota,What was the UK #1 single released by the band Stereophonics in 2005?,"A: ""The Last Time""",F
27,fotheringhay,fotheringhay,At which castle was Mary Queen of Scots beheaded?,A: At which castle was Mary Queen of Scots beheaded?,F
28,fruit,fruit,What does a costermonger sell?,A: A costermonger sells a variety of items,F
29,apollo ballet,apollo,Which Greek God gave Cassandra the give of prophecy?,"A: The word ""god"" is not an acronym",F
30,malic acid,malic acid,Which acid is found in apples?,A: Acid is found in apples,F
31,lilo stitch,lilo and stitch,"Nani, Cobra Bubbles and Captain Gantu are all characters in which Disney film?","A: Nani is a character in the Disney film ""The Lion King""",F
32,basketball,basket ball,The Naismith Award is presented in which sport?,A: The Naismith Award is presented in which sport?,F
33,wuthering heights,wuthering heights,What is the only book written by Emily Bronte?,"A: The only book written by Emily Bronte is ""Wuthering Heights""",T
34,andrew jackson,andrew jackson,"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?""",A: The US president was behind the Indian Removal Act,F
35,north korea,north korea,The Yalu river forms a sort of natural border between China and which of its neighbours?,A: The Yalu river forms a sort of natural border between China and which of its neighbours,F
36,muriel spark,muriel spark,Who wrote the 1961 novel The Prime of Miss Jean Brodie ?,A: It is unknown who wrote the 1961 novel The Prime of Miss Jean Brodie,F
37,angel falls,angel falls,Which is the highest waterfall in the world?,A: The highest waterfall in the world is the waterfall in the French Alps,F
38,octopussy,octopussy,Rita Coolidge sang the title song for which Bond film?,"A: The song ""The Spy Who Loved Me"" by Rita Coolidge",F
39,madonna,madonna,"""Who sang the theme tune to the James Bond film """"Die Another Day""""?""","A: The theme tune to the James Bond film ""Die Another Day"" was sung by the band ""The Who""",F
40,boston braves,boston braves,For which team did Babe Ruth blast his last Major League home run?,A: The Yankees,F
41,chile,chile,Which country is the world's largest producer of copper?,A: The world's largest producer of copper is the United States,F
42,challenger,challenger,"Killing both the second US female astronaut in space, Judith Resnik, and the first participant in the Teacher in Space project, what NSA shuttle was lost on January 28, 1986?","A: The shuttle was lost on January 28, 1986",F
43,cardigan,cardigan,"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?","A: The 7th Earl of Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",F
44,yew disambiguation,yew,Which tree has the Lath name Taxus?,A: The Lath is a tree in the genus Taxus,F
45,gordon jackson,gordon jackson,"Which Scottish actor played the butler Hudson in the original series of ITV's Upstairs, Downstairs ?","A: It is unknown who played the butler Hudson in the original series of ITV's Upstairs, Downstairs",F
46,niagara falls,niagara falls,"Where do you find the Bridal Veil, American, and Horseshoe Falls?","A: The Bridal Veil, American, and Horseshoe Falls are located in the same state",F
47,sunday post,sunday post,Which Scottish newspaper features the Broons and Oor Wullie?,A: The Broons and Oor Wullie are Scottish newspapers,F
48,mv sea empress,sea empress,Which super-tanker ran aground near Milford Haven in 1996, The super-tanker ran aground near Milford Haven in 1996,F
49,whey,whey,Little Miss Muffet sat on a tuffet eating her curds and what?,A: Little Miss Muffet sat on a tuffet eating her curds and what,F
50,pakistan,pakistan,Which country was founded by Muhammed Ali Jinnah?,A: Pakistan,T
51,offering,offering,What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,A: Offering is a form of sacrifice,T
52,persistence of memory,persistence of memory,What is the name of the Salvador Dali painting that shows clocks oozing over a landscape?,"A: The name of the Salvador Dali painting that shows clocks oozing over a landscape is ""The Clock of the World""",F
53,jabal al nour,mountain of light,"Koh-I-Noor, as in the diamond, means what in English?","A: Koh-I-Noor, as in the diamond, means ""the whole world""",F
54,fence disambiguation,fences,"Electric, picket, and split rail are all types of what?","A: Electric, picket, and split rail are all types of what",F
55,owl and pussycat,owl and pussycat,Who in verse sailed to the land where the bong tree grows, The bong tree grows where the bong tree grows,F
56,rabbit,rabbit,What is a Flemish Giant?,A: A Flemish Giant is a giant of the Flemish language,F
57,queen victoria,queen victoria,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",A: The assassination attempt failed,F
58,yahoo,yahoo,"In March 1994, what was ‘David and Jerry’s Guide to the World Wide Web’ renamed?",A: The name of the book was changed to ‘David and Jerry’s Guide to the World Wide Web’,F
59,neptune,neptune,Jupiter ; Saturn and Uranus are three of the so-called ' gas giants ' in our Solar System: what is the fourth ?,A: Jupiter and Saturn are three of the so-called ' gas giants ' in our Solar System,F
60,polish,polish,What nationality was the astronomer Copernicus ?,A: The astronomer Copernicus was a German,F
61,gautama buddha,buddha,By what name is Siddhartha Gautama better known?,"A: Siddhartha Gautama is better known by the name of his teacher, Buddha",T
62,filmmaking,film making,"What links do Bollywood, Hollywood and Lollywood have?","A: Bollywood, Hollywood and Lollywood have no links",F
63,may disambiguation,may,In which month is the Gaelic festival of Beltane traditionally celebrated ?,A: Beltane is celebrated in the month of May,T
64,john glenn,john glenn,In 1998 at the age of 77 who became the oldest person to fly in space?,A: Neil Armstrong,F
65,breakfast at tiffany s,breakfast at tiffany s,Moon River is an Oscar winning song from which movie?,"A: Moon River is a song from the movie ""Moon River""",F
66,paris disambiguation,paris,Which ‘P’ shot the arrow that killed Achilles by striking him on his heel?,A: The arrow that killed Achilles by striking him on his heel was the P-shot,F
67,birmingham city f c,birmingham city,Which English football team has played home games at St. Andrew's Stadium since 1906?,A: The English football team has played home games at St. Andrew's Stadium since 1906,F
68,kinks,kinks,"In 1968, which group recorded the L.P. ‘The Village Green Preservation Society’?",A: The Village Green Preservation Society,F
69,hanover,hanover,In which city was King George II born?,A: In which city was King George II born?,F
70,steel,steel,Which metal is produced by the Bessemer Process?,A: The Bessemer Process is a process that uses a mixture of iron and nickel to produce a metal,F
71,football,football,Kenneth Wolstenholme was a commentator for which sport?,"A: The phrase ""Ken Wolstenholme was a commentator for which sport"" is a misnomer",F
72,avocado,avocado,What fruit gets its name from its similarity to the locally native word for testicle?,"A: The word ""fruit"" is a corruption of the word ""flesh""",F
73,les paul,les paul,Which guitar innovator and player has a range of Gibson Guitars named after him?,"A: Gibson Guitars named after him are the Gretsch, Fender, and Gibson",F
74,ray kroc,ray croc,Who bought the McDonalds fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business ?,A: The McDonald brothers bought the fast food outlet business from the McDonald brothers,F
75,boreas,boreas,In Greek mythology who was the god of the north winds?,"A: The god of the north winds was called ""Achilles""",F
76,estonia,estonia,Tallinn is the capital of which country?,A: Tallinn is the capital of Estonia,T
77,william holden,william holden,Which screen tough-guy won a Best Actor Oscar for the 1953 film 'Stalag 17'?,"A: The film ""Stalag 17"" won the Best Screenplay Oscar for the 1953 film ""Stalag 17""",F
78,rennet,rennet,"What is the name of the enzyme usually added to milk to coagulate it, to make ""curds and whey""?","A: The enzyme is usually added to milk to coagulate it, to make ""curds and whey""",F
79,underground railroad,underground railroad,"""On what """"railroad"""" was Harriet Tubman a conductor?""","A: Harriet Tubman was a conductor on the ""On what """"railroad"""" was Harriet Tubman a conductor?""
A: Harriet Tubman was a conductor on the ""On what """"railroad"""" was Harriet Tubman a conductor?""",F
80,jet,jets,The Sharks face off against what gang in Leonard Bernsteins musical West Side Story?,A: The Sharks face off against the Sharks,F
81,white house,white house,What building is located at 1600 Pennsylvania Avenue?,A: 1600 Pennsylvania Avenue is located at the corner of Pennsylvania Avenue and Pennsylvania Avenue,F
82,boxing,boxing,"In which sport did Andre Agassi's father Mike Agassi compete in the 1948 and 1952 Olympics, represented Iran?","A: In which sport did Andre Agassi's father Mike Agassi compete in the 1948 and 1952 Olympics, represented Iran?
A: In which sport did Andre Agassi's father Mike Agassi compete in the 1948 and 1952 Olympics, represented",F
83,meta,meta,"In Greek mythology, who was the first wife of Aegeus?",A: The first wife of Aegeus was the daughter of the king of Sparta,F
84,marni nixon,marni nixon,"""Who dubbed the singing voice for Audrey Hepburn in the film version of """"My Fair Lady""""?""","A: The singing voice for Audrey Hepburn in the film version of ""My Fair Lady"" was sung by a woman",F
85,pieman,pie man,Who did Simple Simon meet on his way to the fair?,A: Simple Simon met a man named Simon,F
86,gene vincent,gene vincent,"Which late American musician, who pioneered the styles of rock and roll and rockabilly, was born Vincent Eugene Craddock in 1935?","A: The late American musician, who pioneered the styles of rock and roll and rockabilly, was born Vincent Eugene Craddock in 1935",F
87,mallard,mallard,What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,A: The name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline in England,F
88,mc hammer,mc hammer,"""Who had a hit record in 1990 with """"U Can't Touch This""""?""","A: ""Who had a hit record in 1990 with """"U Can't Touch This""""?""",F
89,gertrude,gertrude,"In Shakespeare's 'Hamlet', what was the name of 'Hamlet's' mother?","A: Hamlet's mother was named ""Hamlet""",F
90,dennis waterman,dennis waterman,Who played the role of George Carter in The Sweeney?,A: The role of George Carter was played by a man named George Carter,F
91,sugarloaf,sugar loaf,Which mountain overlooks Rio De Janeiro and its harbour?,A: The mountain overlooks Rio De Janeiro and its harbour,F
92,montezuma,montezuma,Which Aztec ruler was deposed by Cortez?,A: The Aztec ruler was deposed by Cortez,F
93,george iii of united kingdom,george iii,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,A: King George III of Great Britain,T
94,christ church,christ church,Which college’s chapel doubles as Oxford’s cathedral?,A: The chapel at the University of Oxford,F
95,daegu,daegu,Which South Korean city was the venue of the 2011 World Athletics Championships?,"A: Seoul, South Korea",F
96,sprite,sprite,‘Obey your thirst’ is the advertising slogan for which soft drink?,A: ‘Obey your thirst’ is the advertising slogan for which soft drink,F
97,project gutenberg,project gutenberg,What is the name of the first digital library founded by Michael Hart in 1971?,"A: The first digital library founded by Michael Hart in 1971 is the Digital Library of the University of California, Berkeley",F
98,eso 3 6 m telescope,adonis,"The Greek goddess Aphrodite loved which beautiful youth, the son of Myrrha?",A: Aphrodite loved the son of Myrrha,F
99,buddy holly,buddy holly,Gary Busey played which pop star in a 1978 film?,A: Gary Busey played which pop star in a 1978 film,F
100,charlton heston,charlton heston,"""In the 1956 film """"The Ten Commandments"""", who played Moses?""",A: Moses was played by a man named John Wayne,F
101,basketball,basketball,Pok ta Pok started in Mexico - what modern game/sport is it?,A: Pok ta Pok started in Mexico,F
102,ymca,ymca,"Founded in London in 1844 by George Williams, which organisation was established to provide low cost housing in a safe environment?","A: Founded in London by George Williams, which organisation was established to provide low cost housing in a safe environment",F
103,cary grant,cary grant,British-born American film actor Archibald Alec Leach was better known by which stage name?,A: Archibald Alec Leach,F
104,bankside power station,bankside power station,What was the original use of the building which now houses the Tate Modern Art Gallery in London?,A: The Tate Modern Art Gallery was originally built as a warehouse,F
105,margaret mitchell,margaret mitchell,The top American fiction bestseller in both 1936 and 1937 was the only novel published during the lifetime of its author. Who was she?,A: The top American fiction bestseller in both 1936 and 1937 was the only novel published during the lifetime of its author,F
106,canada,canada,The Gilles Villeneuve Formula One racing circuit is in which country?,A: The Gilles Villeneuve Formula One racing circuit is in France,F
107,george iii of united kingdom,george iii,"In the year 1800, who was King of Great Britain and King of Ireland?",A: George III,T
