,dataset,Question,answer,Base_test,comparison
0,triviaQA_un,Which fictional character's first name was Endeavour?,inspector morse,A: Endeavour was the name of a fictional character,F
1,triviaQA_un,Who was the queen of the Brigantes who handed Caractacus over to the Romans?,cartimandua,A: Boudica was the queen of the Brigantes who handed Caractacus over to the Romans,F
2,triviaQA_un,The Egyptian god Bastet had the head of which animal?,cat,A: Bastet had the head of a cat,T
3,triviaQA_un,"Which 20th century novel contains the characters Tom Robinson, Dill and Calpurnia?",to kill mockingbird,"A: To Kill a Mockingbird contains the characters Tom Robinson, Dill and Calpurnia",F
4,triviaQA_un,Which Jane Austen novel features Mr Knightley and Frank Churchill?,emma,A: Pride and Prejudice features Mr Knightley and Frank Churchill,F
5,triviaQA_un,Little Nell is a character in which Dickens novel?,old curiosity shop,"A: Little Nell is a character in ""A Christmas Carol""",F
6,triviaQA_un,"In fiction, who lives at 4 Privet Drive, Little Whinging?",harry potter,"A: Harry Potter lives at 4 Privet Drive, Little Whinging",T
7,triviaQA_un,Which fictional character lived in the village of Puddleby-on-the-Marsh?,dr doolittle,A: Puddleby-on-the-Marsh was the fictional village of Tom Thumb,F
8,triviaQA_un,"In fiction, at what address did housekeeper Mrs Hudson live?",221b baker street,A: Mrs Hudson lived at 221B Baker Street,T
9,triviaQA_un,"Who, in literary fiction, were Peter, Phyllis and Roberta?",railway children,"A: Peter, Phyllis and Roberta were the three children in ""The Three Bears""",F
10,triviaQA_un,"Name the science fiction author of 'I, Robot'.",isaac asimov,A: Isaac Asimov,T
11,triviaQA_un,"Who is the fictional detective, known as the female James Bond, created by Peter O'Donnell?",modesty blaise,"A: Miss Moneypenny is the fictional detective, known as the female James Bond, created by Peter O'Donnell",F
12,triviaQA_un,"In Greek mythology, Elektra was the daughter of which king?",agamemnon,A: Elektra was the daughter of Agamemnon,T
13,triviaQA_un,Brer Rabbit stories originated as Cherokee myths but which author compiled the Brer Rabbit stories?,joel chandler harris,A: Joel Chandler Harris compiled the Brer Rabbit stories,T
14,triviaQA_un,In Greek Mythology who was the Goddess of the Underworld?,persephone,A: Persephone was the Goddess of the Underworld,T
15,triviaQA_un,"In Norse mythology, who was the consort of Odin?",freya,A: Frigg was the consort of Odin,F
16,triviaQA_un,What was the home of the gods in Norse mythology?,asgard,A: The home of the gods was Asgard,T
17,triviaQA_un,What is the national epic poem of Finland (usually translated as 'Land of Heroes'). Sibelius set some of its myths to music in his tone poems.,kalevala,A: The national epic poem of Finland is the Kalevala,T
18,triviaQA_un,In Greek mythology who drowned while swimming the Hellespont?,leander,A: There was no Greek mythology character who drowned while swimming the Hellespont,F
19,triviaQA_un,In Greek myth who was the mother of Oedipus?,jocasta,A: There was no mother of Oedipus because humans evolved gradually,F
20,triviaQA_un,In Greek mythology who was the wife of Odysseus?,penelope,A: Penelope was the wife of Odysseus,T
21,triviaQA_un,Which Greek mythological giant had 100 eyes?,argus,A: Atlas had only one eye,F
22,triviaQA_un,Which mythical creature had the head and body of a lion and eagles wings?,griffin,A: The griffin was a mythical creature with the head and body of a lion and eagles wings,T
23,triviaQA_un,In Greek Mythology what was the name of the prophetess daughter of Priam whose predictions were never believed?,cassandra,A: Cassandra was the name of the prophetess daughter of Priam,T
24,triviaQA_un,Who was the beautiful girl loved by Eros in Greek mythology? Her name means 'spirit' or 'life' in Greek.,psyche,A: Psyche was the beautiful girl loved by Eros in Greek mythology,T
25,triviaQA_un,In Greek Mythology who was the ill-fated lover of Hero?,leander,A: The ill-fated lover of Hero was Philoctetes,F
26,triviaQA_un,In mythology how long was Troy besieged?,10 years,A: The siege of Troy lasted for ten years,F
27,triviaQA_un,"In Greek myth, who led the quest to find the Chrysomallos?",jason,A: Theseus led the quest to find the Chrysomallos,F
28,triviaQA_un,"In Greek mythology, who was the goddess of the moon, sometimes identified as Artemis?",selene,A: Artemis was the goddess of the moon,F
29,triviaQA_un,"In Greek mythology who fell from Pegasus as he attempted to fly to Mount Olympus, the realm of the gods?",bellerophon,"A: The hero Perseus fell from Pegasus as he attempted to fly to Mount Olympus, the realm of the gods",F
30,triviaQA_un,Who was the mother of the Greek mythological hero Perseus?,danae,A: There is no consensus on who was the mother of Perseus,F
31,triviaQA_un,"Who, in an ancient myth, removed a thorn from a lion's paw?",androcles,A: Hercules is thought to have removed a thorn from a lion's paw,F
32,triviaQA_un,"In Norse mythology, from what type of tree was man first created?",ash,"A: In Norse mythology, man was first created from Yggdrasil",F
33,triviaQA_un,German Brothers Wilhelm and Jacob wrote which book in 1812?,grimms fairy tales,"A: Wilhelm and Jacob wrote ""The Brothers Grimm"" in 1812",F
34,triviaQA_un,"In the fairy tale ‘The Princess and the Pea’, how many mattresses did the princess sleep on and still feel the pea through?",twenty,A: The princess slept on one mattress and still felt the pea,F
35,triviaQA_un,Rashin-Coatie is the Scottish version of which fairy tale?,cinderella,"A: Rashin-Coatie is the Scottish version of ""The Three Little Pigs""",F
36,triviaQA_un,Who wrote the 1973 novel ‘A Fairy Tale of New York’?,j p donleavy,A: The book was written by John Dos Passos,F
37,triviaQA_un,Which Hans Christian Andersen fairy tale features 20 mattresses?,princess and pea,A: The Little Mermaid features 20 mattresses,F
38,triviaQA_un,"What is the surname of the famous German brother fairy tale writers, Jacob and Wilhelm?",grimm,A: The surname of the famous German brother fairy tale writers is Grimm,T
39,triviaQA_un,"The 2013 Disney animation Frozen is based on what Hans Christian Andersen fairy tale, in Danish 'Snedronningen'?",snow queen,"A: Frozen is based on the Hans Christian Andersen fairy tale, ""The Snow Queen""",T
40,triviaQA_un,Which German brothers published fairy tales in the 19th century?,grimm,A: The Grimm brothers published fairy tales in the 19th century,T
41,triviaQA_un,"""In the fairy tale """"Sleeping Beauty"""", who kissed the princess to wake her up?""",handsome prince,A: The prince kissed the princess to wake her up,F
42,triviaQA_un,"""Whose fairy tale """"The Snow Queen"""" was the inspiration for the movie """"Frozen""""?""",hans christian andersen,"A: ""The Snow Queen"" was the inspiration for the movie ""Frozen""",F
43,triviaQA_un,"In fairy tales, who is Gretel's brother?",hansel,A: Gretel's brother is Hansel,T
44,triviaQA_un,What American fairy tale character fell asleep for twenty years?,rip van winkle,A: The character of Rip Van Winkle fell asleep for twenty years,T
45,triviaQA_un,In which of Grimm's fairy tales does the wicked witch end up in the oven?,hansel and gretel,"A: In ""The Three Little Pigs"", the wicked witch ends up in the oven",F
46,triviaQA_un,What is the only non-fictional country visited by Gulliver in his travels?,japan,A: The only non-fictional country visited by Gulliver in his travels is Brobdingnag,F
47,triviaQA_un,"John Jarndyce and Honoria, Lady Dedlock are major characters in which Dickens novel?",bleak house,A: Bleak House,T
48,triviaQA_un,Who was the Roman god of sleep?,somnus,A: The Roman god of sleep was known as Somnus,T
49,triviaQA_un,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,sinclair lewis,A: Sinclair Lewis won the Nobel Prize for Literature in 1930,T
50,triviaQA_un,Which William wrote the novel Lord Of The Flies?,golding,A: William Golding wrote the novel Lord Of The Flies,T
51,triviaQA_un,When did the founder of Jehovah's Witnesses say the world would end?,1914,A: The founder of Jehovah's Witnesses said the world would end in 1914,T
52,triviaQA_un,Who wrote the novel Evening Class?,maeve binchy,A: John Steinbeck wrote the novel Evening Class,F
53,triviaQA_un,Which series had the characters Felix Unger and Oscar Madison?,odd couple,A: The Odd Couple was the first series to feature Felix Unger and Oscar Madison,T
54,triviaQA_un,Who had the noels Spy Hook and Spy Line published in the 80s?,len deighton,A: Spy Hook and Spy Line were published in the 80s,F
55,triviaQA_un,Who wrote The Turn Of The Screw in the 19th century and The Ambassadors in the 20th?,henry james,A: Henry James wrote The Turn Of The Screw in the 19th century and The Ambassadors in the 20th,T
56,triviaQA_un,What was John Glenn/'s first spacecraft called?,friendship 7,A: John Glenn/'s first spacecraft was called Friendship 7,T
57,triviaQA_un,"Who wrote the novel Cry, the Beloved Country about South Africa?",alan paton,"A: Alan Paton wrote the novel Cry, the Beloved Country about South Africa",T
58,triviaQA_un,Who wrote the novel The Go Between?,l p hartley,A: E. M. Forster wrote the novel The Go Between,F
59,triviaQA_un,Which American wrote The Game of Chess in 1959?,bobby fischer,A: The Game of Chess was written by Samuel L. Rice,F
