,question,answer,Base_test
0,What is the name of the plastic bit on the end of shoelaces?,aglet,The plastic bit is the part
1,"""What does the word """"fine"""" mean on sheet music?""",end,"""It means that the sheet"
2,What fruit gets its name from its similarity to the locally native word for testicle?,avocado,The word for testicle is
3,"""What has been described as the """"fifth"""" taste, after sweet, sour, bitter, and salty?""",Unami,"""The taste of the sweet"
4,"What is the meaning of the Arabic word 'Hezbollah', the Shi'ite Muslim group?",party of god,Hezbollah is the name of the
5,"Koh-I-Noor, as in the diamond, means what in English?",mountain of light,The diamond is the name of
6,What is a “Scotch Bonnet”?,chili pepper,A â€œScotch Bon
7,What is Mexico's most commonly used language?,spanish,Spanish.
8,What is the Scottish word that applies to New Year's Eve?,hogmanay,"The word is ""New Year"
9,The region of Catalonia is part of which country?,bengali,Spain.
10,What do we call the vegetable called the rutabaga in America?,swede,The rutabaga is
11,What is the official language of The Netherlands?,dutch,Dutch.
12,What word in our language comes from the Icelandic word for ‘to gush’?,geyser,‘Gjöld
13,What is the official language of Mozambique ?,portuguese,Portuguese.
14,What is the official language of Brunei ?,malay,English.
15,What is the official language of Cambodia ?,khmer,English.
16,Which language is said to have been the mother tongue of Jesus?,aramaic,The Greek language.
17,Which language gave us the word 'Germanic'?,latin,Germanic.
18,Which wind has a name meaning ‘snow eater’ in American Indian language?,chinook,The name of the wind is
19,"The three principal Uralic languages are Finnish, Estonian, and which other?",hungarian,"Finnish, Estonian, and"
20,What letter is used the most often in English language and literature?,e,The letter â€œA
21,Which country's name in its own language is Druk Yul – i.e. 'Land of the Thunder Dragon'?,bhutan,The name is in Korean.
22,In which language does ‘Proost’ mean ‘Cheers’?,dutch,In English.
23,What word in our language comes from the French for ‘sour wine’?,vinegar,‘Sour’
24,The musical term ‘toccata’ comes to us from what language?,italian,It comes from the Italian word
25,Which language gave English the word kahuna as in “the big kahuna”?,hawaiian,English gave the word kah
26,Which European language is spoken by a lusophone?,portuguese,English.
27,"Sri Lanka has two official languages - Sinhala or Singhalese is one, what is the other?",tamil,The official language is Sinh
28,"Which nine letter word, taken from the Aboriginal language is used by Australians for an oxbow lake or stagnant pond?",billabong,The word â€˜oxbow
29,The Jewish language Yiddish is based on which other language ?,german,The Hebrew language is based on
30,Pashto and Dari are the two official languages of which country ?,afghanistan,Pashto and Dari
31,Which city is called Baile Atha Cliath in its native language ?,dublin,Baile Atha Cli
32,From which language does the word 'sauna' come ?,finnish,From the German word 's
33,"In the Spanish language, what sort of meat is jamon ?",ham,Jamon is a type of
34,Nadolig Llawen' means Merry Christmas in which western European language?,welsh,Yes.
35,Sinhalese (or Singhalese) is the language and people originating in north India now largely populating which country?,sri lanka,The Sinhalese are
36,"Bir, iki, uc, dort, bes (loosely westernised) are 1-5 in what language?",turkish,"Bir, iki, u"
37,"What Italian term, adopted into English, refers to a mixed language enabling communication between different national groups?",lingua franca,Italian is a mixed language.
38,What common boy's name (English language Christian or first name) is derived from the Latin and Greek words for rock?,peter,"The word ""rock"" is"
39,"What is the primary language spoken in Belarus, Kazakhstan, and Kyrgyzstan?",russian,Russian.
40,A geis (plural geasa) is a curse or taboo in which national mythology/language?,irish,The geis is a curse
41,In language the term ellipsis refers to missing/omitted what?,words,The word ellipsis is
42,"The Malayalam language is from, and still used by over 30 million people in?",India,Yes.
43,"""In Turkish language/custom """"teşekkür ederim"""" and """"sağ olun"""" mean?""",thank you,"""In Turkish language/custom"
44,"Suchen, Buscar, Rechercher and Zoeken appear commonly on German, Spanish, French and Dutch language websites, all meaning what?",search,"Suchen, Buscar,"
45,In the English language a 'perfect pangram' contains how many letters?,26,1
46,Deriving from 'Tagalog' Austronesian language 'bundok' (mountain) the US-English word 'boondocks' (and 'boonies') refers disrespectfully to?,remote rural area,Yes.
47,"What word, which in Greek means 'with' or 'after', prefixes many literary and language terms to denote something in a different position?",meta,The word 'with' or
48,What language is 'Jeg elsker dig' ?,danish,English
49,Katakana is a symbol system of which language?,japanese,The Japanese language is a symbol
50,Where was Morse College located?,Harkness,Morse College was located in the
51,The people of Greece are called what?,Greek,Greeks.
52,Which country has the third most common use of Czech?,Portugal,Czech Republic
53,"Which of the following is not a grammatical mood in Czech: conditional, second-person or imperative?",second-person,conditional
54,Irelands educational system differs from that of which country the most?,Scotland,The educational system of Ireland is
55,"Which of the following is not a type of German school: Gymnasium, remedial, or Realschule?",remedial,Gymnasium
56,Brandenburg and Bavaria can both be called?,State,"Yes, they can both be"
57,How many grades are typically seen in Finland's comprehensive school system?,nine,The number of grades is usually
58,"Which of the following is not a type of baptism: affusion, liberty or sprinkling?",liberty,Baptism is a type of
59,Wordbooks or a collection of words arranged alphabetically with their definitions and usage are called?,dictionaries,Wordbooks or a collection of
