,question,answer,Base_test
0,"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol,
1,"Which former Italian Prime Minister was kidnapped by The Red Brigade in 1978, and killed after 55 days in captivity?",aldo moro,
2,What was the first name of the mother of US President Barack Obama?,stanley,Michelle Obama.
3,Which famous English highwayman was hanged for horse-stealing in April 1739?,dick turpin,
4,"In 1968, ‘The Troubles’ began in which European country between elements of the nationalist community and the unionist community?",northern ireland,
5,In January 1968 who was chosen as leader of the Communist Party in Czechoslovakia?,alexander dubcek,
6,"In the year 1800, who was King of Great Britain and King of Ireland?",george iii,James II
7,Where has Baroness Royall of Blaisdon led the opposition since May 2010?,house of lords,
8,Which country was founded by Muhammed Ali Jinnah?,pakistan,India.
9,"“Dreams from my father, a story of race and heritance” is about which politician?",barack obama,
10,What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,gillian gibbons,
11,"Which French chemist, regarded as the father of modern chemistry, was guillotined in 1794?",lavoisier,Louis Pasteur
12,Which modern day country was known until 1981 as British Honduras?,belize,
13,In which month is the Gaelic festival of Beltane traditionally celebrated ?,may,
14,What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,general belgrano,
15,What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,offering,
16,Tallinn is the capital of which country?,estonia,Estonia.
17,At which castle was Mary Queen of Scots beheaded?,fotheringhay,
18,What is the capital of the U S state of Pennsylvania?,harrisburg,"Philadelphia, PA"
19,What organisation was formed in 1670 when King Charles II of England granted a charter to Prince Rupert and others to give them large tracts of land and the trading rights over a large area?,hudson s bay company,
20,"In which year was the first robbery for which it is known that Jesse James was responsible, of the Davies's County Savings Association in Gallatin, Missouri, during which Jesse shot and killed the cashier, Captain John Sheets?",1869,
21,"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",cardigan,Brudenell
22,"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?""",andrew jackson,
23,"What profession was Jean-Paul Marat, noted for his involvement in the French Revolution at the end of the 18th century?",journalist,
24,"Who supposedly chopped down a cherry tree, but couldn't lie about it?",george washington,
25,"""On what """"railroad"""" was Harriet Tubman a conductor?""",underground railroad,
26,What is the name of George Galloway's political party?,respect,
27,What was the original use of the building which now houses the Tate Modern Art Gallery in London?,bankside power station,
28,"Who has children called Track, Bristol, Piper, Trig and Willow?",sarah palin,
29,Which post in England and Wales is held by Anne Owers?,chief inspector of prisons,
30,"Edward Stanley served three terms as Prime Minister in the 19th century, he was known by what title?",earl of derby,Prime Minister
31,Who lead the enquiry into the Iraq war?,sir john chilcot,
32,Which Aztec ruler was deposed by Cortez?,montezuma,
33,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",queen victoria,Queen Elizabeth II
34,Libya was a colony of which country from 1911 to 1947?,italy,
35,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,george iii,
36,Robert Gordon Menzies was which country's longest-serving Prime Minister?,australia,Australia
37,The revolutionary group the Sandinistas were active in which country?,nicaragua,Nicaragua.
