,Answer.NormalizedMatchedWikiEntityName,answer,question,Base_test
0,syriza,syriza,"The Prime Minister of Greece, Alexis Tsipras, is the leader of which political party?",The New Democracy Party
1,james hogg,james hogg,Which poet (1770-1835) was known as the Ettrick Shepherd?,The Ettrick Shepherd was
2,skylab,skylab,"In orbit from 1973 to 1979, what was the name of the first space station launched by NASA, which met a firey end over the Pacific Ocean (and parts of Western Australia), on July 11, 1979?",STS-1.
3,sudanese teddy bear blasphemy case,gillian gibbons,What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,The name of the British teacher
4,tonto s expanding head band,tonto,Which sidekick rode a horse called Scout ?,The sidekick rode a horse
5,scooby doo,scooby doo,In which children's TV series does Shaggy appear?,In the first season of the
6,charlie chan,charlie chan,Which literary character is the best known creation of the writer Earl Derr Biggers?,The most famous creation of the
7,spain,spain,From which country does 'Manchego' cheese come?,From the Manchego region
8,pete best,pete best,Who was sacked as the Beatles' drummer and replaced by Ringo Starr?,Paul McCartney.
9,james blunt,james blunt,‘Back to Bedlam’ was the debut album for which British singer?,â€˜Back to Bedlam
10,manuel belgrano,general belgrano,What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,The Argentine Navy cruiser San Juan
11,wonderbra,wonder bra,What was advertised with Eva Herzagovia using the slogan hello boys?,The slogan was hello boys.
12,renault,renault,Who makes or made the model of vehicle the Kangoo?,The model of vehicle is made
13,house of lords,house of lords,Where has Baroness Royall of Blaisdon led the opposition since May 2010?,She has led the opposition in
14,cave,caves,"Spelunking is the exploration of what, especially as a hobby?",I love to explore. I
15,bat,bat,The bumblebee or hog-nosed is the smallest mammal in the world - what is it?,The bumblebee is a
16,roy keane,roy keane,In the year 2000 Charity Shield match which player was sent off,?
17,elysian fields,elysian fields,"In Greek mythology, where do righteous souls go after death?","They go to Hades, the"
18,charles darwin,charles darwin,Which famous scientist lived at Down house in Kent?,Sir Isaac Newton
19,robert maxwell,robert maxwell,Who was the owner of Mirror Group newspapers who misused the pension fund,?
20,crusades,crusades,Another name for the Holy Wars between the  Christian states of Europe against the Saracens,.
21,salvador allende,salvador allende,"An American aided coup in Chile in 1973, deposed which President?",Nixon.
22,anita roddick,anita roddick,"Who founded the Body Shop, in the UK, in 1976?",It was a group of friends
23,orion,orion,"Which constellation has, uniquely, in Rigel and Betelgeuse, two of the ten brightest stars?",Rigel
24,goldtrail,goldtrail,Name the UK budget holiday company specialising in Turkey and Greece which went bust in July 2010?,The UK government has been very
25,el escorial,escorial,"Name the palace and monastery , situated some 25 miles north of Madrid, founded by King Phillip II of Spain?",The palace is located in the
26,dakota,dakota,What was the UK #1 single released by the band Stereophonics in 2005?,"""The Last Time"""
27,fotheringhay,fotheringhay,At which castle was Mary Queen of Scots beheaded?,At which castle was Mary Queen
28,fruit,fruit,What does a costermonger sell?,A costermonger sells
29,apollo ballet,apollo,Which Greek God gave Cassandra the give of prophecy?,The Greek God gave her the
30,malic acid,malic acid,Which acid is found in apples?,Acidic.
31,lilo stitch,lilo and stitch,"Nani, Cobra Bubbles and Captain Gantu are all characters in which Disney film?","Nani, Cobra Bubbles"
32,basketball,basket ball,The Naismith Award is presented in which sport?,Basketball.
33,wuthering heights,wuthering heights,What is the only book written by Emily Bronte?,I don't know. I
34,andrew jackson,andrew jackson,"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?""","""The Indian Removal Act"""
35,north korea,north korea,The Yalu river forms a sort of natural border between China and which of its neighbours?,The Yalu river forms
36,muriel spark,muriel spark,Who wrote the 1961 novel The Prime of Miss Jean Brodie ?,It was written by a woman
37,angel falls,angel falls,Which is the highest waterfall in the world?,The highest waterfall in the world
38,octopussy,octopussy,Rita Coolidge sang the title song for which Bond film?,"The original Bond film, Dr"
39,madonna,madonna,"""Who sang the theme tune to the James Bond film """"Die Another Day""""?""","Q: ""Who sang the theme tune"
40,boston braves,boston braves,For which team did Babe Ruth blast his last Major League home run?,The Yankees.
41,chile,chile,Which country is the world's largest producer of copper?,China.
42,challenger,challenger,"Killing both the second US female astronaut in space, Judith Resnik, and the first participant in the Teacher in Space project, what NSA shuttle was lost on January 28, 1986?",The shuttle Columbia was lost on
43,cardigan,cardigan,"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",Brudenell
44,yew disambiguation,yew,Which tree has the Lath name Taxus?,The Lath tree.
45,gordon jackson,gordon jackson,"Which Scottish actor played the butler Hudson in the original series of ITV's Upstairs, Downstairs ?",I played the butler Hudson
46,niagara falls,niagara falls,"Where do you find the Bridal Veil, American, and Horseshoe Falls?",I found them in the back
47,sunday post,sunday post,Which Scottish newspaper features the Broons and Oor Wullie?,The Daily Record.
48,mv sea empress,sea empress,Which super-tanker ran aground near Milford Haven in 1996,?
49,whey,whey,Little Miss Muffet sat on a tuffet eating her curds and what?,Her curds.
50,pakistan,pakistan,Which country was founded by Muhammed Ali Jinnah?,India.
51,offering,offering,What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,Oblation is a sacrifice of
52,persistence of memory,persistence of memory,What is the name of the Salvador Dali painting that shows clocks oozing over a landscape?,The clock is a painting by
53,jabal al nour,mountain of light,"Koh-I-Noor, as in the diamond, means what in English?",The diamond is the name of
54,fence disambiguation,fences,"Electric, picket, and split rail are all types of what?","Electric, picket, and"
55,owl and pussycat,owl and pussycat,Who in verse sailed to the land where the bong tree grows,?
56,rabbit,rabbit,What is a Flemish Giant?,A Flemish Giant is
57,queen victoria,queen victoria,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",Queen Elizabeth II
58,yahoo,yahoo,"In March 1994, what was ‘David and Jerry’s Guide to the World Wide Web’ renamed?",â€˜David and Jerry
59,neptune,neptune,Jupiter ; Saturn and Uranus are three of the so-called ' gas giants ' in our Solar System: what is the fourth ?,Jupiter is the largest planet in
60,polish,polish,What nationality was the astronomer Copernicus ?,He was a Roman Catholic.
61,gautama buddha,buddha,By what name is Siddhartha Gautama better known?,Siddhartha Gautama
62,filmmaking,film making,"What links do Bollywood, Hollywood and Lollywood have?",The Bollywood and Hollywood are
63,may disambiguation,may,In which month is the Gaelic festival of Beltane traditionally celebrated ?,It is celebrated on the first
64,john glenn,john glenn,In 1998 at the age of 77 who became the oldest person to fly in space?,I was the oldest person to
65,breakfast at tiffany s,breakfast at tiffany s,Moon River is an Oscar winning song from which movie?,The song is from the movie
66,paris disambiguation,paris,Which ‘P’ shot the arrow that killed Achilles by striking him on his heel?,The arrow that killed Achilles by
67,birmingham city f c,birmingham city,Which English football team has played home games at St. Andrew's Stadium since 1906?,Manchester United.
68,kinks,kinks,"In 1968, which group recorded the L.P. ‘The Village Green Preservation Society’?",The Village Green Preservation Society.
69,hanover,hanover,In which city was King George II born?,In London.
70,steel,steel,Which metal is produced by the Bessemer Process?,Aluminum.
71,football,football,Kenneth Wolstenholme was a commentator for which sport?,I was a commentator for the
72,avocado,avocado,What fruit gets its name from its similarity to the locally native word for testicle?,The word for testicle is
73,les paul,les paul,Which guitar innovator and player has a range of Gibson Guitars named after him?,John Mayer.
74,ray kroc,ray croc,Who bought the McDonalds fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business ?,The McDonald brothers were the first
75,boreas,boreas,In Greek mythology who was the god of the north winds?,The god of the north winds
76,estonia,estonia,Tallinn is the capital of which country?,Estonia.
77,william holden,william holden,Which screen tough-guy won a Best Actor Oscar for the 1953 film 'Stalag 17'?,The one that was shot on
78,rennet,rennet,"What is the name of the enzyme usually added to milk to coagulate it, to make ""curds and whey""?","The enzyme is called ""c"
79,underground railroad,underground railroad,"""On what """"railroad"""" was Harriet Tubman a conductor?""","""On what railroad was she"
80,jet,jets,The Sharks face off against what gang in Leonard Bernsteins musical West Side Story?,The Sharks face off against what
81,white house,white house,What building is located at 1600 Pennsylvania Avenue?,The building is located at 1600
82,boxing,boxing,"In which sport did Andre Agassi's father Mike Agassi compete in the 1948 and 1952 Olympics, represented Iran?","In 1948, he competed in"
83,meta,meta,"In Greek mythology, who was the first wife of Aegeus?",Aphrodite.
84,marni nixon,marni nixon,"""Who dubbed the singing voice for Audrey Hepburn in the film version of """"My Fair Lady""""?""","""The voice was actually that"
85,pieman,pie man,Who did Simple Simon meet on his way to the fair?,He met a man named Simon
86,gene vincent,gene vincent,"Which late American musician, who pioneered the styles of rock and roll and rockabilly, was born Vincent Eugene Craddock in 1935?",Johnny Cash.
87,mallard,mallard,What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,The Great Western Railway's Great
88,mc hammer,mc hammer,"""Who had a hit record in 1990 with """"U Can't Touch This""""?""","""I had a hit record"
89,gertrude,gertrude,"In Shakespeare's 'Hamlet', what was the name of 'Hamlet's' mother?",'Hamlet's' mother
90,dennis waterman,dennis waterman,Who played the role of George Carter in The Sweeney?,I played George Carter.
91,sugarloaf,sugar loaf,Which mountain overlooks Rio De Janeiro and its harbour?,The Rio de Janeiro-S
92,montezuma,montezuma,Which Aztec ruler was deposed by Cortez?,"The Aztec ruler, Az"
93,george iii of united kingdom,george iii,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,Charles I of England
94,christ church,christ church,Which college’s chapel doubles as Oxford’s cathedral?,The Oxford Cathedral is the cathedral
95,daegu,daegu,Which South Korean city was the venue of the 2011 World Athletics Championships?,"Seoul, South Korea"
96,sprite,sprite,‘Obey your thirst’ is the advertising slogan for which soft drink?,â€˜Obey your thirst
97,project gutenberg,project gutenberg,What is the name of the first digital library founded by Michael Hart in 1971?,The Digital Library of Michael Hart
