,Answer.NormalizedMatchedWikiEntityName,answer,question,Base_test,comparison
0,syriza,syriza,"The Prime Minister of Greece, Alexis Tsipras, is the leader of which political party?",The Greek Prime Minister is the leader of which political party,F
1,james hogg,james hogg,Which poet (1770-1835) was known as the Ettrick Shepherd?,John Keats,F
2,skylab,skylab,"In orbit from 1973 to 1979, what was the name of the first space station launched by NASA, which met a firey end over the Pacific Ocean (and parts of Western Australia), on July 11, 1979?",The name of the first space station launched by NASA was the Space Shuttle,F
3,sudanese teddy bear blasphemy case,gillian gibbons,What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,John McAfee,F
4,tonto s expanding head band,tonto,Which sidekick rode a horse called Scout ?,Scout was a horse that was ridden by a man named Scout,F
5,scooby doo,scooby doo,In which children's TV series does Shaggy appear?,In which children's TV series does Shaggy appear?,F
6,charlie chan,charlie chan,Which literary character is the best known creation of the writer Earl Derr Biggers?,Earl Derr Biggers is the best known creation of the writer Earl Derr Biggers,F
7,spain,spain,From which country does 'Manchego' cheese come?,From which country does 'Manchego' cheese come?,F
8,pete best,pete best,Who was sacked as the Beatles' drummer and replaced by Ringo Starr?,The Beatles were sacked as the drummer and replaced by Ringo Starr,F
9,james blunt,james blunt,‘Back to Bedlam’ was the debut album for which British singer?,‘Back to Bedlam’ was the debut album for which British singer,F
10,manuel belgrano,general belgrano,What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,"The Argentine Navy cruiser was named the ""Tirrena""",F
11,wonderbra,wonder bra,What was advertised with Eva Herzagovia using the slogan hello boys?,"Hello boys, I am Eva Herzagovia",F
12,renault,renault,Who makes or made the model of vehicle the Kangoo?,The Kangoo was made by a man named John Henry,F
13,house of lords,house of lords,Where has Baroness Royall of Blaisdon led the opposition since May 2010?,Baroness Royall of Blaisdon led the opposition since May 2010,F
14,cave,caves,"Spelunking is the exploration of what, especially as a hobby?","Spelunking is the exploration of what, especially as a hobby",F
15,bat,bat,The bumblebee or hog-nosed is the smallest mammal in the world - what is it?,The bumblebee or hog-nosed is the smallest mammal in the world,F
16,roy keane,roy keane,In the year 2000 Charity Shield match which player was sent off," field?
A: The player who was sent off the field was the player who was sent off the field",F
17,elysian fields,elysian fields,"In Greek mythology, where do righteous souls go after death?",They go to the underworld,F
18,charles darwin,charles darwin,Which famous scientist lived at Down house in Kent?,Albert Einstein,F
19,robert maxwell,robert maxwell,Who was the owner of Mirror Group newspapers who misused the pension fund,: The owner of Mirror Group newspapers misused the pension fund,F
20,crusades,crusades,Another name for the Holy Wars between the  Christian states of Europe against the Saracens,: The Holy Wars were called the Crusades,T
21,salvador allende,salvador allende,"An American aided coup in Chile in 1973, deposed which President?",The American aid was given to the Chilean government,F
22,anita roddick,anita roddick,"Who founded the Body Shop, in the UK, in 1976?",The Body Shop was founded by a man named John Lister,F
23,orion,orion,"Which constellation has, uniquely, in Rigel and Betelgeuse, two of the ten brightest stars?",Rigel and Betelgeuse are the two brightest stars in the constellation of Rigel,F
24,goldtrail,goldtrail,Name the UK budget holiday company specialising in Turkey and Greece which went bust in July 2010?,The UK budget holiday company specialising in Turkey and Greece went bust in July 2010,F
25,el escorial,escorial,"Name the palace and monastery , situated some 25 miles north of Madrid, founded by King Phillip II of Spain?",The palace and monastery are located in the city of Madrid,F
26,dakota,dakota,What was the UK #1 single released by the band Stereophonics in 2005?,"The UK #1 single was ""The World Is Yours""",F
27,fotheringhay,fotheringhay,At which castle was Mary Queen of Scots beheaded?,At which castle was Mary Queen of Scots beheaded?,F
28,fruit,fruit,What does a costermonger sell?,A costermonger sells a variety of items,F
29,apollo ballet,apollo,Which Greek God gave Cassandra the give of prophecy?,The Greek God gave Cassandra the give of prophecy,F
30,malic acid,malic acid,Which acid is found in apples?,Acid is found in apples,F
31,lilo stitch,lilo and stitch,"Nani, Cobra Bubbles and Captain Gantu are all characters in which Disney film?","Nani is a character in the Disney film ""The Lion King""",F
32,basketball,basket ball,The Naismith Award is presented in which sport?,The Naismith Award is presented in which sport?,F
33,wuthering heights,wuthering heights,What is the only book written by Emily Bronte?,"The only book written by Emily Bronte is ""The Red Shoes""",F
34,andrew jackson,andrew jackson,"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?""",Andrew Jackson was behind the Indian Removal Act,T
35,north korea,north korea,The Yalu river forms a sort of natural border between China and which of its neighbours?,The Yalu river forms a sort of natural border between China and which of its neighbours,F
36,muriel spark,muriel spark,Who wrote the 1961 novel The Prime of Miss Jean Brodie ?,The Prime of Miss Jean Brodie was written by a man named John Brodie,F
37,angel falls,angel falls,Which is the highest waterfall in the world?,The highest waterfall in the world is the waterfall in the Grand Canyon,F
38,octopussy,octopussy,Rita Coolidge sang the title song for which Bond film?,"The title song for the Bond film is ""The Man Who Was Thursday""",F
39,madonna,madonna,"""Who sang the theme tune to the James Bond film """"Die Another Day""""?""","""Who sang the theme tune to the James Bond film """"Die Another Day""""?""",F
40,boston braves,boston braves,For which team did Babe Ruth blast his last Major League home run?,The Yankees,F
41,chile,chile,Which country is the world's largest producer of copper?,The United States is the world's largest producer of copper,F
42,challenger,challenger,"Killing both the second US female astronaut in space, Judith Resnik, and the first participant in the Teacher in Space project, what NSA shuttle was lost on January 28, 1986?","The shuttle was lost on January 28, 1986",F
43,cardigan,cardigan,"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",The 7th Earl of Brudenell was the 7th Earl of what?,F
44,yew disambiguation,yew,Which tree has the Lath name Taxus?,The Lath is a tree that grows in the mountains of the United States,F
45,gordon jackson,gordon jackson,"Which Scottish actor played the butler Hudson in the original series of ITV's Upstairs, Downstairs ?","John Mills played the butler Hudson in the original series of ITV's Upstairs, Downstairs",F
46,niagara falls,niagara falls,"Where do you find the Bridal Veil, American, and Horseshoe Falls?",The Bridal Veil is found in the United States,F
