,dataset,question,answer,Base_test,comparison
0,triviaQA_un,Which fictional character's first name was Endeavour?,inspector morse,"Endeavour is a fictional character from the novel ""The Adventures of Endeavour"" by John Galsworthy",F
1,triviaQA_un,Who was the queen of the Brigantes who handed Caractacus over to the Romans?,cartimandua,The Brigantes were a West Germanic tribe that lived in the area of modern-day Germany,F
2,triviaQA_un,The Egyptian god Bastet had the head of which animal?,cat,The head of a goat,F
3,triviaQA_un,"Which 20th century novel contains the characters Tom Robinson, Dill and Calpurnia?",to kill mockingbird,"The novel ""The Adventures of Tom Robinson"" by Charles Dickens",F
4,triviaQA_un,Which Jane Austen novel features Mr Knightley and Frank Churchill?,emma,Jane Austen's novel features Mr Knightley and Frank Churchill,F
5,triviaQA_un,Little Nell is a character in which Dickens novel?,old curiosity shop,Little Nell is a character in which Dickens novel,F
6,triviaQA_un,"In fiction, who lives at 4 Privet Drive, Little Whinging?",harry potter,"The character of the character lives at 4 Privet Drive, Little Whinging",F
7,triviaQA_un,Which fictional character lived in the village of Puddleby-on-the-Marsh?,dr doolittle,The character of Puddleby-on-the-Marsh was based on a real person,F
8,triviaQA_un,"In fiction, at what address did housekeeper Mrs Hudson live?",221b baker street,At the address of Mrs Hudson's housekeeper,F
9,triviaQA_un,"Who, in literary fiction, were Peter, Phyllis and Roberta?",railway children,"Peter, Phyllis and Roberta were three characters in a novel",F
10,triviaQA_un,"Name the science fiction author of 'I, Robot'.",isaac asimov,Isaac Asimov,T
11,triviaQA_un,"Who is the fictional detective, known as the female James Bond, created by Peter O'Donnell?",modesty blaise,"The fictional detective, known as the female James Bond, created by Peter O'Donnell, is a fictional character",F
12,triviaQA_un,"In Greek mythology, Elektra was the daughter of which king?",agamemnon,Elektra was the daughter of which king?,F
13,triviaQA_un,Brer Rabbit stories originated as Cherokee myths but which author compiled the Brer Rabbit stories?,joel chandler harris,The Brer Rabbit stories originated as Cherokee myths but which author compiled the Brer Rabbit stories?,F
14,triviaQA_un,In Greek Mythology who was the Goddess of the Underworld?,persephone,"The Goddess of the Underworld was the daughter of the god of the Underworld, Zeus",F
15,triviaQA_un,"In Norse mythology, who was the consort of Odin?",freya,The consort of Odin was the goddess Frigg,F
16,triviaQA_un,What was the home of the gods in Norse mythology?,asgard,The home of the gods in Norse mythology was the home of the gods,F
17,triviaQA_un,What is the national epic poem of Finland (usually translated as 'Land of Heroes'). Sibelius set some of its myths to music in his tone poems.,kalevala,"The national epic poem of Finland is the ""Sibelius""",F
18,triviaQA_un,In Greek mythology who drowned while swimming the Hellespont?,leander,The hero of the Greek myth of the drowning of the hero of the Greek myth of the drowning of the hero,F
19,triviaQA_un,In Greek myth who was the mother of Oedipus?,jocasta,The mother of Oedipus was the wife of King Priam,F
20,triviaQA_un,In Greek mythology who was the wife of Odysseus?,penelope,"The wife of Odysseus was called ""the wife of the god of the sea""",F
21,triviaQA_un,Which Greek mythological giant had 100 eyes?,argus,The mythological giant had 100 eyes,F
22,triviaQA_un,Which mythical creature had the head and body of a lion and eagles wings?,griffin,The mythical creature had the head and body of a lion and eagles wings,F
23,triviaQA_un,In Greek Mythology what was the name of the prophetess daughter of Priam whose predictions were never believed?,cassandra,"The name of the prophetess daughter of Priam's daughter was called ""Pytho""",F
24,triviaQA_un,Who was the beautiful girl loved by Eros in Greek mythology? Her name means 'spirit' or 'life' in Greek.,psyche,The beautiful girl was called Eros,F
25,triviaQA_un,In Greek Mythology who was the ill-fated lover of Hero?,leander,The hero was the son of Zeus and Hera,F
26,triviaQA_un,In mythology how long was Troy besieged?,10 years,"It was besieged for about 2,000 years",F
27,triviaQA_un,"In Greek myth, who led the quest to find the Chrysomallos?",jason,The quest to find the Chrysomallos was led by a man named Phaeton,F
28,triviaQA_un,"In Greek mythology, who was the goddess of the moon, sometimes identified as Artemis?",selene,Artemis was the goddess of the moon,F
29,triviaQA_un,"In Greek mythology who fell from Pegasus as he attempted to fly to Mount Olympus, the realm of the gods?",bellerophon,The hero of the story was a man named Phaedrus,F
30,triviaQA_un,Who was the mother of the Greek mythological hero Perseus?,danae,Perseus was the son of Perseus and Medusa,F
31,triviaQA_un,"Who, in an ancient myth, removed a thorn from a lion's paw?",androcles,The lion was removed from the paw of a lion,F
32,triviaQA_un,"In Norse mythology, from what type of tree was man first created?",ash,From the tree of life,F
33,triviaQA_un,German Brothers Wilhelm and Jacob wrote which book in 1812?,grimms fairy tales,The book was written by Wilhelm and Jacob,F
34,triviaQA_un,"In the fairy tale ‘The Princess and the Pea’, how many mattresses did the princess sleep on and still feel the pea through?",twenty,The princess slept on four mattresses,F
35,triviaQA_un,Rashin-Coatie is the Scottish version of which fairy tale?,cinderella,"The Scottish version of Rashin-Coatie is ""Rashin-Coatie""",F
36,triviaQA_un,Who wrote the 1973 novel ‘A Fairy Tale of New York’?,j p donleavy,It was written by a man named John Irving,F
37,triviaQA_un,Which Hans Christian Andersen fairy tale features 20 mattresses?,princess and pea,The story of Hans Christian Andersen's fairy tale features 20 mattresses,F
38,triviaQA_un,"What is the surname of the famous German brother fairy tale writers, Jacob and Wilhelm?",grimm,Jacob and Wilhelm are the names of the famous German brothers,F
39,triviaQA_un,"The 2013 Disney animation Frozen is based on what Hans Christian Andersen fairy tale, in Danish 'Snedronningen'?",snow queen,The Disney animated film Frozen is based on Hans Christian Andersen's 'Snedronningen',F
40,triviaQA_un,Which German brothers published fairy tales in the 19th century?,grimm,The brothers Grimm were the first to publish fairy tales,T
41,triviaQA_un,"""In the fairy tale """"Sleeping Beauty"""", who kissed the princess to wake her up?""",handsome prince,The princess kissed the princess to wake her up,F
42,triviaQA_un,"""Whose fairy tale """"The Snow Queen"""" was the inspiration for the movie """"Frozen""""?""",hans christian andersen,"The story of ""The Snow Queen"" is not the inspiration for the movie ""Frozen""",F
43,triviaQA_un,"In fairy tales, who is Gretel's brother?",hansel,The brother of Gretel is the wolf Fenrir,F
44,triviaQA_un,What American fairy tale character fell asleep for twenty years?,rip van winkle,Cinderella,F
