,Answer.NormalizedMatchedWikiEntityName,answer,Question,Base_test,comparison
0,syriza,syriza,"The Prime Minister of Greece, Alexis Tsipras, is the leader of which political party?",A: The leader of the Greek Party is Tsipras,F
1,james hogg,james hogg,Which poet (1770-1835) was known as the Ettrick Shepherd?,A: William Wordsworth,F
2,skylab,skylab,"In orbit from 1973 to 1979, what was the name of the first space station launched by NASA, which met a firey end over the Pacific Ocean (and parts of Western Australia), on July 11, 1979?",A: Columbia,F
3,sudanese teddy bear blasphemy case,gillian gibbons,What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,A: John McAfee,F
4,tonto s expanding head band,tonto,Which sidekick rode a horse called Scout ?,A: The sidekick rode a horse called Scout,F
5,scooby doo,scooby doo,In which children's TV series does Shaggy appear?,A: In which children's TV series does Shaggy appear?,F
6,charlie chan,charlie chan,Which literary character is the best known creation of the writer Earl Derr Biggers?,A: The character of the character of the writer Earl Derr Biggers,F
7,spain,spain,From which country does 'Manchego' cheese come?,A: From which country does 'Manchego' cheese come?,F
8,pete best,pete best,Who was sacked as the Beatles' drummer and replaced by Ringo Starr?,A: Paul McCartney,F
9,james blunt,james blunt,‘Back to Bedlam’ was the debut album for which British singer?,A: ‘Back to Bedlam’ was the debut album for which British singer,F
10,manuel belgrano,general belgrano,What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,A: La Palma,F
11,wonderbra,wonder bra,What was advertised with Eva Herzagovia using the slogan hello boys?,A: Hello boys,F
12,renault,renault,Who makes or made the model of vehicle the Kangoo?,A: The Kangoo is made by the Volkswagen Group,F
13,house of lords,house of lords,Where has Baroness Royall of Blaisdon led the opposition since May 2010?,A: Baroness Royall of Blaisdon has led the opposition since May 2010,F
14,cave,caves,"Spelunking is the exploration of what, especially as a hobby?","A: Spelunking is the exploration of what, especially as a hobby",F
15,bat,bat,The bumblebee or hog-nosed is the smallest mammal in the world - what is it?,A: The bumblebee or hog-nosed is the smallest mammal in the world,F
16,roy keane,roy keane,In the year 2000 Charity Shield match which player was sent off, Wayne Rooney,F
17,elysian fields,elysian fields,"In Greek mythology, where do righteous souls go after death?",A: To the underworld,F
