Answer.NormalizedMatchedWikiEntityName,Answer.NormalizedValue,Question
spartacus,spartacus,What gladiator famously led a slave revolt against Rome?
christianity,christianity,The Council of Trent in the 16th century was held between believers of what religious faith?
niagara falls,niagara falls,Matthew Webb swam the English Channel and then drowned swimming where?
,childe harold s,Which lengthy narrative poem by Lord Byron describes the trials and reflections of a world weary young man?
tartaric acid,tartaric acid,Which acid is contained in Grapes?
turkey,turkey,"In 2006 Orhan Pamuk became the first Nobel Laureate from which country, when he won the literature prize?"
,1985,"Everton FC beat Rapid Vienna in the Final of the European Cup Winners Cup, what year?"
mark rothko,mark rothko,Which artist painted the 'Seagram Murals' which were originally commissioned by the Four Seasons Hotel in New York in 1958?
tamale,tamale,Which Mexican dish is a steamed corn husk filled with meat or vegetables coated in masa dough?
,8,What number on the BeauforT Scale equates to a gale?
spain,spain,The region of Catalonia is part of which country?
robert stroud,robert stroud,What was the name of the 'Birdman of Alcatraz'?
parkinson s disease,parkinson s disease,Which disease of the central nervous system is named after the Englishman who wrote 'An Essay on the Shaking Palsy'?
socrates,socrates,Plato and Xenophon were both pupils of which Greek philosopher?
yellow brick road,yellow bricks,"According to L Frank Baum's 'The Wonderful Wizard of Oz', the Road to the City of Emeralds is paved with what?"
blackburn rovers f c,blackburn rovers,Which is the only team to have won football’s Premier League once and once only?
robert boyle,robert boyle,Who gave his name to the scientific law that states that the pressure of a gas is inversely proportional to its volume at constant temperature?
mantle,mantle,"Comprising around two-thirds of the Earth's mass , what is found between the core of the Earth and its crust ?"
torres strait,torres strait,What is the name of the strait between New Guinea and the Australian mainland?
maxwell,maxwell,"Named in honour of the Scottish physicist who presented the unified theory of electromagnetism, what is the CGS unit of magnetic flux?"
ned sherrin,ned sherrin,"Who was the deviser, producer and director 'That Was The Week That Was'?"
beetroot,beetroot,What is the main ingredient of borscht soup?
kipps,kipps,The musical ‘Half a Sixpence’ was based on which 1905 novel?
spain,spain,From which country does paella come
copenhagen,copenhagen,The statue of the 'Little Mermaid' is in the harbour of which city?
madonna,madonna,Which singer had a number 1 hit album in 2008 entitled 'Hard Candy'?
switzerland,switzerland,In which country is the castle that gives the Habsburg dynasty its name?
rick wakeman,rick wakeman,Who released an album entitled The Six Wives of Henry VIII?
london,london,Canaletto is famous for his landscapes of Venice and which other city?
pyotr ilyich tchaikovsky,pyotr tchaikovsky,Who composed the ballet ‘Swan Lake’?
e,e,"When suffix letters were first used on British car registration plates the letter was used for a calendar year, later, to suit the car industry, the letter changed on August 1 each year, which letter was consequently used for only seven months?"
prime number,prime,What name is given to a positive whole number that can only be divided by 1 or itself?
davros,davros,"Terry Molloy, David Gooderson and Julian Bleach have all portrayed which villain in the UK television series Dr Who?"
,1066,In what year was the Battle of Stamford Bridge?
charlie parker,charlie parker,Which jazz saxophonist was nicknamed Bird
raphael,raphael,The paintings entitled 'St. George and the Dragon' and 'Madonna with the Fish' are works by which Florentine master?
