,index,question,answer,Base_test,comparison
0,1,The Yalu river forms a sort of natural border between China and which of its neighbours?,north korea,The Yalu river forms a sort of natural border between China and which of its neighbours?,F
1,2,Gjetost is the national cheese of which country?,norway,Norway,T
2,3,What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,mallard,"The locomotive was the ""Pom""",F
3,4,"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol,The person who shot and wounded her was a man named John Travolta,F
4,5,Which is the highest waterfall in the world?,angel falls,The highest waterfall in the world is the waterfall in the Grand Canyon,F
5,6,Which country was founded by Muhammed Ali Jinnah?,pakistan,Pakistan,T
6,7,Which Roman coin was equivalent in value to four sesterces?,denarius,The coin was equivalent in value to four sesterces,F
7,8,Cathay is a poetic name for which country?,china,China,T
8,9,The region of Catalonia is part of which country?,spain,Spain,T
9,10,The Rio Grande forms the border of Texas with what other area?,Mexico,The Rio Grande forms the border of Texas with what other area?,F
10,11,What city will host the 2016 Olympics?,rio de janeiro,The city will host the 2016 Olympics,F
11,12,The Kina is the monetary unit of which Oceania country?,papua new guinea,The Kina is the monetary unit of which Oceania country?,F
12,13,Libya was a colony of which country from 1911 to 1947?,italy,Libya was a colony of which country from 1911 to 1947,F
13,14,Which city was the setting for Shakespeare’s play Measure for Measure?,vienna,It was the setting for the play Measure for Measure,F
14,15,"In 1964, who became the youngest winner of the Nobel Peace Prize?",martin luther king,Albert Einstein,F
15,16,In which country was England Rugby Union player Dylan Hartley born?,new zealand,England was founded in 1871,F
16,17,In which country is the castle that gives the Habsburg dynasty its name?,switzerland,The castle that gives the Habsburg dynasty its name is in Austria,F
17,18,Wanlockhead is the highest village in which European country?,scotland,England,F
18,19,"Said to be the birthplace of the rules of Association Football, Parker’s Piece is in which English city?",cambridge,Parkerâ€™s Piece is in which English city?,F
19,20,Which Indian born author who lived from 1903 to 1950 had the real name Eric Arthur Blair ?,george orwell,Eric Arthur Blair was a British author who lived from 1903 to 1950,F
20,21,In what Sudan city was Gillian Gibbons imprisoned for the blasphemous naming of a teddy bear incident?,khartoum,"In the city of Khartoum, Sudan",T
21,22,Which team was the first to score a 'Golden Goal' in the soccer World Cup Finals?,france,The team that scored the Golden Goal was the team that won the World Cup,F
22,23,The Orinoco river meets the sea on which country's coast?,venezuela,Venezuela,T
23,24,"""Whose motto is """"Je Maintiendrai""""?""",netherlands,"""Je Maintiendrai"" is a French phrase meaning ""I will maintain""",F
24,25,What gladiator famously led a slave revolt against Rome?,spartacus,The gladiator was a Roman soldier who fought in the Second Punic War,F
25,26,In which US state is New Haven?,connecticut,"New Haven, Connecticut",T
26,27,In what year was the Battle of Stamford Bridge?,1066,The Battle of Stamford Bridge was fought in the year of 1347,F
27,28,Of which country is Manama the capital?,bahrain,The capital of Bahrain is Manama,T
28,29,In which modern country is the ancient city of Petra?,jordan,In which modern country is the ancient city of Petra?,F
29,30,The battle of 'Flodden Field' took place in which English county?,northumberland,The battle of 'Flodden Field' took place in which English county?,F
30,31,Nouakchott is the capital of which Islamic African republic?,mauretania,Nouakchott is the capital of which Islamic African republic,F
31,32,In which Canadian city is the Lion's Gate Bridge?,vancouver,In which Canadian city is the Lion's Gate Bridge?,F
32,33,"What nationality was Christian Barnard, the surgeon who performed the first human heart transplant?",south african,Christian Barnard was a British surgeon,F
33,34,"What was the 42nd state to join the Union on Nov 11, 1889?",washington,The 42nd state to join the Union was New York,F
34,35,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,sinclair lewis,Sinclair did not win the Nobel Prize for Literature in 1930,F
35,36,From which country did Angola achieve independence in 1975?,portugal,From Angola,F
36,37,Which country does the airline Air Pacific come from?,fiji,"The word ""Air Pacific"" comes from the name of the airline",F
37,38,Which is the largest of the Japanese Volcano Islands?,iwo jima,The largest of the Japanese Volcano Islands is the Kiso Island,F
38,39,In which country was Ursula Andrews born?,switzerland,In which country was Ursula Andrews born?,F
39,40,What is the former name of the People's Republic of Venin?,dohomey,The name of the People's Republic of Venin is Venin,F
