question,answer
"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol
"Which former Italian Prime Minister was kidnapped by The Red Brigade in 1978, and killed after 55 days in captivity?",aldo moro
What was the first name of the mother of US President Barack Obama?,stanley
Which famous English highwayman was hanged for horse-stealing in April 1739?,dick turpin
"In 1968, ‘The Troubles’ began in which European country between elements of the nationalist community and the unionist community?",northern ireland
In January 1968 who was chosen as leader of the Communist Party in Czechoslovakia?,alexander dubcek
"In the year 1800, who was King of Great Britain and King of Ireland?",george iii
Where has Baroness Royall of Blaisdon led the opposition since May 2010?,house of lords
Which country was founded by Muhammed Ali Jinnah?,pakistan
"“Dreams from my father, a story of race and heritance” is about which politician?",barack obama
What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,gillian gibbons
"Which French chemist, regarded as the father of modern chemistry, was guillotined in 1794?",lavoisier
Which modern day country was known until 1981 as British Honduras?,belize
In which month is the Gaelic festival of Beltane traditionally celebrated ?,may
What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,general belgrano
What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,offering
Tallinn is the capital of which country?,estonia
At which castle was Mary Queen of Scots beheaded?,fotheringhay
What is the capital of the U S state of Pennsylvania?,harrisburg
What organisation was formed in 1670 when King Charles II of England granted a charter to Prince Rupert and others to give them large tracts of land and the trading rights over a large area?,hudson s bay company
"In which year was the first robbery for which it is known that Jesse James was responsible, of the Davies's County Savings Association in Gallatin, Missouri, during which Jesse shot and killed the cashier, Captain John Sheets?",1869
"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",cardigan
"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?""",andrew jackson
"What profession was Jean-Paul Marat, noted for his involvement in the French Revolution at the end of the 18th century?",journalist
"Who supposedly chopped down a cherry tree, but couldn't lie about it?",george washington
"""On what """"railroad"""" was Harriet Tubman a conductor?""",underground railroad
What is the name of George Galloway's political party?,respect
What was the original use of the building which now houses the Tate Modern Art Gallery in London?,bankside power station
"Who has children called Track, Bristol, Piper, Trig and Willow?",sarah palin
Which post in England and Wales is held by Anne Owers?,chief inspector of prisons
"Edward Stanley served three terms as Prime Minister in the 19th century, he was known by what title?",earl of derby
Who lead the enquiry into the Iraq war?,sir john chilcot
Which Aztec ruler was deposed by Cortez?,montezuma
"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",queen victoria
Libya was a colony of which country from 1911 to 1947?,italy
Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,george iii
Robert Gordon Menzies was which country's longest-serving Prime Minister?,australia
The revolutionary group the Sandinistas were active in which country?,nicaragua
"The Prime Minister of Greece, Alexis Tsipras, is the leader of which political party?",syriza
The 1810 betrothal of Princess Theresa to Crown Prince Ludwig not only resulted in the meadow where the event took place to be named Theresienwiese but also started what?,octoberfest
"Which coral atoll, the largest island in the Chagos Archipelago, was forcibly depopulated in 1971 to make way for a joint UK/USA military base?",diego garcia
"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?",george blake
"An American aided coup in Chile in 1973, deposed which President?",salvador allende
Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?,south carolina
