,question,answer,Base_test
0,"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol,She shot him in the head
1,"Which former Italian Prime Minister was kidnapped by The Red Brigade in 1978, and killed after 55 days in captivity?",aldo moro,The Red Brigade was a terrorist
2,What was the first name of the mother of US President Barack Obama?,stanley,Michelle Obama.
3,Which famous English highwayman was hanged for horse-stealing in April 1739?,dick turpin,John Gresham.
4,"In 1968, ‘The Troubles’ began in which European country between elements of the nationalist community and the unionist community?",northern ireland,The Troubles began in Northern
5,In January 1968 who was chosen as leader of the Communist Party in Czechoslovakia?,alexander dubcek,I was chosen as leader of
6,"In the year 1800, who was King of Great Britain and King of Ireland?",george iii,James II
7,Where has Baroness Royall of Blaisdon led the opposition since May 2010?,house of lords,She has led the opposition in
8,Which country was founded by Muhammed Ali Jinnah?,pakistan,India.
9,"“Dreams from my father, a story of race and heritance” is about which politician?",barack obama,“The
10,What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,gillian gibbons,The name of the British teacher
11,"Which French chemist, regarded as the father of modern chemistry, was guillotined in 1794?",lavoisier,Louis Pasteur
12,Which modern day country was known until 1981 as British Honduras?,belize,The British Honduras was a British
13,In which month is the Gaelic festival of Beltane traditionally celebrated ?,may,It is celebrated on the first
14,What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,general belgrano,The Argentine Navy cruiser San Juan
15,What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,offering,Oblation is a sacrifice of
16,Tallinn is the capital of which country?,estonia,Estonia.
17,At which castle was Mary Queen of Scots beheaded?,fotheringhay,At which castle was Mary Queen
18,What is the capital of the U S state of Pennsylvania?,harrisburg,"Philadelphia, PA"
19,What organisation was formed in 1670 when King Charles II of England granted a charter to Prince Rupert and others to give them large tracts of land and the trading rights over a large area?,hudson s bay company,The Royal Society of London was
20,"In which year was the first robbery for which it is known that Jesse James was responsible, of the Davies's County Savings Association in Gallatin, Missouri, during which Jesse shot and killed the cashier, Captain John Sheets?",1869,The first robbery was committed in
21,"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",cardigan,Brudenell
22,"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?""",andrew jackson,"""The Indian Removal Act was"
23,"What profession was Jean-Paul Marat, noted for his involvement in the French Revolution at the end of the 18th century?",journalist,Marat was a lawyer and
