index,Question,Answer
1,The Yalu river forms a sort of natural border between China and which of its neighbours?,north korea
2,Gjetost is the national cheese of which country?,norway
3,What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,mallard
4,"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol
5,Which is the highest waterfall in the world?,angel falls
6,Which country was founded by Muhammed Ali Jinnah?,pakistan
7,Which Roman coin was equivalent in value to four sesterces?,denarius
8,Cathay is a poetic name for which country?,china
9,The region of Catalonia is part of which country?,spain
10,The Rio Grande forms the border of Texas with what other area?,Mexico
11,What city will host the 2016 Olympics?,rio de janeiro
12,The Kina is the monetary unit of which Oceania country?,papua new guinea
13,Libya was a colony of which country from 1911 to 1947?,italy
14,Which city was the setting for Shakespeare’s play Measure for Measure?,vienna
15,"In 1964, who became the youngest winner of the Nobel Peace Prize?",martin luther king
16,In which country was England Rugby Union player Dylan Hartley born?,new zealand
17,In which country is the castle that gives the Habsburg dynasty its name?,switzerland
18,Wanlockhead is the highest village in which European country?,scotland
19,"Said to be the birthplace of the rules of Association Football, Parker’s Piece is in which English city?",cambridge
20,Which Indian born author who lived from 1903 to 1950 had the real name Eric Arthur Blair ?,george orwell
21,In what Sudan city was Gillian Gibbons imprisoned for the blasphemous naming of a teddy bear incident?,khartoum
22,Which team was the first to score a 'Golden Goal' in the soccer World Cup Finals?,france
23,The Orinoco river meets the sea on which country's coast?,venezuela
24,"""Whose motto is """"Je Maintiendrai""""?""",netherlands
25,What gladiator famously led a slave revolt against Rome?,spartacus
26,In which US state is New Haven?,connecticut
27,In what year was the Battle of Stamford Bridge?,1066
28,Of which country is Manama the capital?,bahrain
29,In which modern country is the ancient city of Petra?,jordan
30,The battle of 'Flodden Field' took place in which English county?,northumberland
31,Nouakchott is the capital of which Islamic African republic?,mauretania
32,In which Canadian city is the Lion's Gate Bridge?,vancouver
33,"What nationality was Christian Barnard, the surgeon who performed the first human heart transplant?",south african
34,"What was the 42nd state to join the Union on Nov 11, 1889?",washington
35,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,sinclair lewis
36,From which country did Angola achieve independence in 1975?,portugal
37,Which country does the airline Air Pacific come from?,fiji
38,Which is the largest of the Japanese Volcano Islands?,iwo jima
39,In which country was Ursula Andrews born?,switzerland
40,What is the former name of the People's Republic of Venin?,dohomey
41,Which country was called Upper Volta until 1984?,burkina faso
42,Who was the Egyptian king whose tomb an treasures were discovered in the Valley of the Kings in 1922?,tutankhamen
43,On the border of which two countries is Victoria Falls?,zambia and zimbabwe
