,Answer.NormalizedMatchedWikiEntityName,answer,Question,Base_test,comparison
0,spartacus,spartacus,What gladiator famously led a slave revolt against Rome?,A: The gladiator led a slave revolt against Rome,F
1,christianity,christianity,The Council of Trent in the 16th century was held between believers of what religious faith?,A: The Council of Trent was held between Christians of what religious faith,F
2,niagara falls,niagara falls,Matthew Webb swam the English Channel and then drowned swimming where?,A: In the English Channel,F
3,tartaric acid,tartaric acid,Which acid is contained in Grapes?,A: Acid is contained in grapes,F
4,turkey,turkey,"In 2006 Orhan Pamuk became the first Nobel Laureate from which country, when he won the literature prize?",A: He won the literature prize in Turkey,T
5,mark rothko,mark rothko,Which artist painted the 'Seagram Murals' which were originally commissioned by the Four Seasons Hotel in New York in 1958?,A: The artist was a member of the Four Seasons Hotel,F
6,tamale,tamale,Which Mexican dish is a steamed corn husk filled with meat or vegetables coated in masa dough?,A: Steamed corn husk filled with meat or vegetables coated in masa dough,F
7,spain,spain,The region of Catalonia is part of which country?,A: Catalonia is part of Spain,T
8,robert stroud,robert stroud,What was the name of the 'Birdman of Alcatraz'?,"A: The name of the 'Birdman of Alcatraz' is ""Birdman""",F
9,parkinson s disease,parkinson s disease,Which disease of the central nervous system is named after the Englishman who wrote 'An Essay on the Shaking Palsy'?,A: The disease of the central nervous system is named after the Englishman who wrote 'An Essay on the Shaking Palsy'?,F
10,socrates,socrates,Plato and Xenophon were both pupils of which Greek philosopher?,"A: Plato was a pupil of Socrates, and Xenophon was a pupil of Socrates",T
11,yellow brick road,yellow bricks,"According to L Frank Baum's 'The Wonderful Wizard of Oz', the Road to the City of Emeralds is paved with what?",A: The Road to the City of Emeralds is paved with what?,F
12,blackburn rovers f c,blackburn rovers,Which is the only team to have won football’s Premier League once and once only?,A: Manchester United,F
13,robert boyle,robert boyle,Who gave his name to the scientific law that states that the pressure of a gas is inversely proportional to its volume at constant temperature?,A: The law was named after the physicist John Archibald Wheeler,F
14,mantle,mantle,"Comprising around two-thirds of the Earth's mass , what is found between the core of the Earth and its crust ?",A: The Earth is composed of around two-thirds of the Earth's mass,F
15,torres strait,torres strait,What is the name of the strait between New Guinea and the Australian mainland?,A: The name of the strait between New Guinea and the Australian mainland is the Straits of Magellan,F
16,maxwell,maxwell,"Named in honour of the Scottish physicist who presented the unified theory of electromagnetism, what is the CGS unit of magnetic flux?",A: The CGS unit of magnetic flux is the magnetic flux density,F
17,ned sherrin,ned sherrin,"Who was the deviser, producer and director 'That Was The Week That Was'?","A: The deviser, producer and director 'That Was The Week That Was'?",F
18,beetroot,beetroot,What is the main ingredient of borscht soup?,A: The main ingredient of borscht soup is cabbage,F
19,kipps,kipps,The musical ‘Half a Sixpence’ was based on which 1905 novel?,"A: The musical ‘Half a Sixpence’ was based on the novel ""The Mystery of Edwin Drood"" by Charles Dickens",F
20,spain,spain,From which country does paella come, From Italy,F
21,copenhagen,copenhagen,The statue of the 'Little Mermaid' is in the harbour of which city?,A: The statue of the 'Little Mermaid' is in the harbour of which city?,F
22,madonna,madonna,Which singer had a number 1 hit album in 2008 entitled 'Hard Candy'?,A: The singer had a hit album in 2008 entitled 'Hard Candy',F
23,switzerland,switzerland,In which country is the castle that gives the Habsburg dynasty its name?,A: In which country is the castle that gives the Habsburg dynasty its name?,F
24,rick wakeman,rick wakeman,Who released an album entitled The Six Wives of Henry VIII?,A: The Six Wives of Henry VIII was released by the band The Beatles,F
25,london,london,Canaletto is famous for his landscapes of Venice and which other city?,A: Venice is famous for its canals,F
26,pyotr ilyich tchaikovsky,pyotr tchaikovsky,Who composed the ballet ‘Swan Lake’?,A: The ballet ‘Swan Lake’ was composed by a Russian composer named Mikhail Glinka,F
27,e,e,"When suffix letters were first used on British car registration plates the letter was used for a calendar year, later, to suit the car industry, the letter changed on August 1 each year, which letter was consequently used for only seven months?","A: The letter was used for a calendar year, but the letter was used for only seven months",T
28,prime number,prime,What name is given to a positive whole number that can only be divided by 1 or itself?,"A: The name of a positive whole number that can only be divided by 1 or itself is called a ""positive whole number""",F
29,davros,davros,"Terry Molloy, David Gooderson and Julian Bleach have all portrayed which villain in the UK television series Dr Who?","A: Terry Molloy, David Gooderson and Julian Bleach have all portrayed which villain in the UK television series Dr Who",F
30,charlie parker,charlie parker,Which jazz saxophonist was nicknamed Bird, Charlie Parker,T
31,raphael,raphael,The paintings entitled 'St. George and the Dragon' and 'Madonna with the Fish' are works by which Florentine master?,A: The paintings entitled 'St. George and the Dragon' and 'Madonna with the Fish' are works by which Florentine master?,F
32,united states,usa,"""Which country launched the space station """"Skylab"""" in 1973?""","A: The country that launched the space station """"Skylab"""" in 1973",F
33,pauline quirke,pauline quirke,Which actress played The Sculptress on TV?,A: The actress who played The Sculptress is not the actress who played The Sculptress,F
34,monkey puzzle,monkey puzzle,Araucaria araucana is the national tree of Chile. Although it is not a true pine it became known as the 'Chile Pine'. What is its current common English name?,A: Araucaria araucana is the national tree of Chile,F
35,charlie chan,charlie chan,"What fictional Chinese-American detective, created by Earl Derr Biggers in 1923 for a novel published in 1925, was the subject of over 45 films made between 1926 and 1981?","A: The fictional Chinese-American detective, created by Earl Derr Biggers in 1923 for a novel published in 1925, was the subject of over 45 films made between 1926 and 1981",F
36,countess from hong kong,countess from hong kong,"From which film, for which Chaplin film wrote the music, did Petula Clark have a Number One with 'This Is My Song'?","A: From which film, for which Chaplin film wrote the music, did Petula Clark have a Number One with 'This Is My Song'?",F
37,steve miller band,steve miller band,"""""""Abracadabra"""" (1982) and """"The Joker"""" (1990) were big hits for which group?""",A: The two movies were big hits for which group?,F
38,franz schubert,franz schubert,Which Austrian composer who lived from 1797 to 1828 was nicknamed ‘The Little Mushroom’?,A: Johann Sebastian Bach,F
39,milky way,local galaxy,What is the Milky Way?,A: The Milky Way is a constellation in the sky,F
40,business,business,What is a group of ferrets called?,"A: A group of ferrets is called a ""ferret""",F
