Answer.NormalizedMatchedWikiEntityName,Answer.NormalizedValue,Question
syriza,syriza,"The Prime Minister of Greece, Alexis Tsipras, is the leader of which political party?"
james hogg,james hogg,Which poet (1770-1835) was known as the Ettrick Shepherd?
skylab,skylab,"In orbit from 1973 to 1979, what was the name of the first space station launched by NASA, which met a firey end over the Pacific Ocean (and parts of Western Australia), on July 11, 1979?"
sudanese teddy bear blasphemy case,gillian gibbons,What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?
tonto s expanding head band,tonto,Which sidekick rode a horse called Scout ?
scooby doo,scooby doo,In which children's TV series does Shaggy appear?
charlie chan,charlie chan,Which literary character is the best known creation of the writer Earl Derr Biggers?
spain,spain,From which country does 'Manchego' cheese come?
pete best,pete best,Who was sacked as the Beatles' drummer and replaced by Ringo Starr?
james blunt,james blunt,‘Back to Bedlam’ was the debut album for which British singer?
manuel belgrano,general belgrano,What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?
wonderbra,wonder bra,What was advertised with Eva Herzagovia using the slogan hello boys?
renault,renault,Who makes or made the model of vehicle the Kangoo?
house of lords,house of lords,Where has Baroness Royall of Blaisdon led the opposition since May 2010?
cave,caves,"Spelunking is the exploration of what, especially as a hobby?"
bat,bat,The bumblebee or hog-nosed is the smallest mammal in the world - what is it?
roy keane,roy keane,In the year 2000 Charity Shield match which player was sent off
elysian fields,elysian fields,"In Greek mythology, where do righteous souls go after death?"
charles darwin,charles darwin,Which famous scientist lived at Down house in Kent?
robert maxwell,robert maxwell,Who was the owner of Mirror Group newspapers who misused the pension fund
crusades,crusades,Another name for the Holy Wars between the  Christian states of Europe against the Saracens
salvador allende,salvador allende,"An American aided coup in Chile in 1973, deposed which President?"
,1869,"In which year was the first robbery for which it is known that Jesse James was responsible, of the Davies's County Savings Association in Gallatin, Missouri, during which Jesse shot and killed the cashier, Captain John Sheets?"
anita roddick,anita roddick,"Who founded the Body Shop, in the UK, in 1976?"
orion,orion,"Which constellation has, uniquely, in Rigel and Betelgeuse, two of the ten brightest stars?"
goldtrail,goldtrail,Name the UK budget holiday company specialising in Turkey and Greece which went bust in July 2010?
el escorial,escorial,"Name the palace and monastery , situated some 25 miles north of Madrid, founded by King Phillip II of Spain?"
dakota,dakota,What was the UK #1 single released by the band Stereophonics in 2005?
fotheringhay,fotheringhay,At which castle was Mary Queen of Scots beheaded?
fruit,fruit,What does a costermonger sell?
apollo ballet,apollo,Which Greek God gave Cassandra the give of prophecy?
malic acid,malic acid,Which acid is found in apples?
lilo stitch,lilo and stitch,"Nani, Cobra Bubbles and Captain Gantu are all characters in which Disney film?"
basketball,basket ball,The Naismith Award is presented in which sport?
wuthering heights,wuthering heights,What is the only book written by Emily Bronte?
andrew jackson,andrew jackson,"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?"""
north korea,north korea,The Yalu river forms a sort of natural border between China and which of its neighbours?
muriel spark,muriel spark,Who wrote the 1961 novel The Prime of Miss Jean Brodie ?
angel falls,angel falls,Which is the highest waterfall in the world?
octopussy,octopussy,Rita Coolidge sang the title song for which Bond film?
madonna,madonna,"""Who sang the theme tune to the James Bond film """"Die Another Day""""?"""
boston braves,boston braves,For which team did Babe Ruth blast his last Major League home run?
chile,chile,Which country is the world's largest producer of copper?
challenger,challenger,"Killing both the second US female astronaut in space, Judith Resnik, and the first participant in the Teacher in Space project, what NSA shuttle was lost on January 28, 1986?"
cardigan,cardigan,"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?"
yew disambiguation,yew,Which tree has the Lath name Taxus?
gordon jackson,gordon jackson,"Which Scottish actor played the butler Hudson in the original series of ITV's Upstairs, Downstairs ?"
niagara falls,niagara falls,"Where do you find the Bridal Veil, American, and Horseshoe Falls?"
sunday post,sunday post,Which Scottish newspaper features the Broons and Oor Wullie?
mv sea empress,sea empress,Which super-tanker ran aground near Milford Haven in 1996
whey,whey,Little Miss Muffet sat on a tuffet eating her curds and what?
pakistan,pakistan,Which country was founded by Muhammed Ali Jinnah?
offering,offering,What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?
persistence of memory,persistence of memory,What is the name of the Salvador Dali painting that shows clocks oozing over a landscape?
jabal al nour,mountain of light,"Koh-I-Noor, as in the diamond, means what in English?"
fence disambiguation,fences,"Electric, picket, and split rail are all types of what?"
owl and pussycat,owl and pussycat,Who in verse sailed to the land where the bong tree grows
rabbit,rabbit,What is a Flemish Giant?
queen victoria,queen victoria,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?"
yahoo,yahoo,"In March 1994, what was ‘David and Jerry’s Guide to the World Wide Web’ renamed?"
neptune,neptune,Jupiter ; Saturn and Uranus are three of the so-called ' gas giants ' in our Solar System: what is the fourth ?
polish,polish,What nationality was the astronomer Copernicus ?
gautama buddha,buddha,By what name is Siddhartha Gautama better known?
filmmaking,film making,"What links do Bollywood, Hollywood and Lollywood have?"
may disambiguation,may,In which month is the Gaelic festival of Beltane traditionally celebrated ?
john glenn,john glenn,In 1998 at the age of 77 who became the oldest person to fly in space?
breakfast at tiffany s,breakfast at tiffany s,Moon River is an Oscar winning song from which movie?
paris disambiguation,paris,Which ‘P’ shot the arrow that killed Achilles by striking him on his heel?
birmingham city f c,birmingham city,Which English football team has played home games at St. Andrew's Stadium since 1906?
kinks,kinks,"In 1968, which group recorded the L.P. ‘The Village Green Preservation Society’?"
hanover,hanover,In which city was King George II born?
steel,steel,Which metal is produced by the Bessemer Process?
,3,"""How many films were made by director Sir Peter Jackson from Tolkien's short book, """"The Hobbit""""?"""
football,football,Kenneth Wolstenholme was a commentator for which sport?
avocado,avocado,What fruit gets its name from its similarity to the locally native word for testicle?
les paul,les paul,Which guitar innovator and player has a range of Gibson Guitars named after him?
ray kroc,ray croc,Who bought the McDonalds fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business ?
boreas,boreas,In Greek mythology who was the god of the north winds?
estonia,estonia,Tallinn is the capital of which country?
william holden,william holden,Which screen tough-guy won a Best Actor Oscar for the 1953 film 'Stalag 17'?
rennet,rennet,"What is the name of the enzyme usually added to milk to coagulate it, to make ""curds and whey""?"
underground railroad,underground railroad,"""On what """"railroad"""" was Harriet Tubman a conductor?"""
jet,jets,The Sharks face off against what gang in Leonard Bernsteins musical West Side Story?
white house,white house,What building is located at 1600 Pennsylvania Avenue?
boxing,boxing,"In which sport did Andre Agassi's father Mike Agassi compete in the 1948 and 1952 Olympics, represented Iran?"
meta,meta,"In Greek mythology, who was the first wife of Aegeus?"
marni nixon,marni nixon,"""Who dubbed the singing voice for Audrey Hepburn in the film version of """"My Fair Lady""""?"""
pieman,pie man,Who did Simple Simon meet on his way to the fair?
gene vincent,gene vincent,"Which late American musician, who pioneered the styles of rock and roll and rockabilly, was born Vincent Eugene Craddock in 1935?"
mallard,mallard,What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?
mc hammer,mc hammer,"""Who had a hit record in 1990 with """"U Can't Touch This""""?"""
gertrude,gertrude,"In Shakespeare's 'Hamlet', what was the name of 'Hamlet's' mother?"
dennis waterman,dennis waterman,Who played the role of George Carter in The Sweeney?
sugarloaf,sugar loaf,Which mountain overlooks Rio De Janeiro and its harbour?
montezuma,montezuma,Which Aztec ruler was deposed by Cortez?
george iii of united kingdom,george iii,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?
christ church,christ church,Which college’s chapel doubles as Oxford’s cathedral?
daegu,daegu,Which South Korean city was the venue of the 2011 World Athletics Championships?
sprite,sprite,‘Obey your thirst’ is the advertising slogan for which soft drink?
project gutenberg,project gutenberg,What is the name of the first digital library founded by Michael Hart in 1971?
eso 3 6 m telescope,adonis,"The Greek goddess Aphrodite loved which beautiful youth, the son of Myrrha?"
buddy holly,buddy holly,Gary Busey played which pop star in a 1978 film?
charlton heston,charlton heston,"""In the 1956 film """"The Ten Commandments"""", who played Moses?"""
basketball,basketball,Pok ta Pok started in Mexico - what modern game/sport is it?
ymca,ymca,"Founded in London in 1844 by George Williams, which organisation was established to provide low cost housing in a safe environment?"
cary grant,cary grant,British-born American film actor Archibald Alec Leach was better known by which stage name?
bankside power station,bankside power station,What was the original use of the building which now houses the Tate Modern Art Gallery in London?
