,index,Question,answer,Base_test,comparison
0,1,The Yalu river forms a sort of natural border between China and which of its neighbours?,north korea,A: The Yalu river forms a sort of natural border between China and which of its neighbours,F
1,2,Gjetost is the national cheese of which country?,norway,A: Gjetost is the national cheese of which country,F
2,3,What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,mallard,"A: The locomotive was named the ""Steam Locomotive""",F
3,4,"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol,A: The man who shot and wounded her was the man who shot and wounded her,F
4,5,Which is the highest waterfall in the world?,angel falls,A: The highest waterfall in the world is the waterfall in the village of Krapina in Croatia,F
5,6,Which country was founded by Muhammed Ali Jinnah?,pakistan,A: Pakistan,T
6,7,Which Roman coin was equivalent in value to four sesterces?,denarius,A: The Roman coin was equivalent in value to four sesterces,F
7,8,Cathay is a poetic name for which country?,china,A: China,T
8,9,The region of Catalonia is part of which country?,spain,A: Catalonia is part of Spain,T
9,10,The Rio Grande forms the border of Texas with what other area?,Mexico,A: The Rio Grande forms the border of Texas with Mexico,T
10,11,What city will host the 2016 Olympics?,rio de janeiro,A: Los Angeles,F
11,12,The Kina is the monetary unit of which Oceania country?,papua new guinea,A: The Kina is the monetary unit of which Oceania country,F
12,13,Libya was a colony of which country from 1911 to 1947?,italy,A: Libya was a colony of which country from 1911 to 1947,F
13,14,Which city was the setting for Shakespeare’s play Measure for Measure?,vienna,A: London,F
14,15,"In 1964, who became the youngest winner of the Nobel Peace Prize?",martin luther king,A: Albert Einstein,F
15,16,In which country was England Rugby Union player Dylan Hartley born?,new zealand,A: England Rugby Union player Dylan Hartley was born in England,F
16,17,In which country is the castle that gives the Habsburg dynasty its name?,switzerland,A: Austria,F
17,18,Wanlockhead is the highest village in which European country?,scotland,A: Wanlockhead is the highest village in which European country,F
18,19,"Said to be the birthplace of the rules of Association Football, Parker’s Piece is in which English city?",cambridge,A: Liverpool,F
19,20,Which Indian born author who lived from 1903 to 1950 had the real name Eric Arthur Blair ?,george orwell,A: Eric Arthur Blair,F
20,21,In what Sudan city was Gillian Gibbons imprisoned for the blasphemous naming of a teddy bear incident?,khartoum,A: In which city was Gillian Gibbons imprisoned for the blasphemous naming of a teddy bear incident?,F
21,22,Which team was the first to score a 'Golden Goal' in the soccer World Cup Finals?,france,A: The United States,F
22,23,The Orinoco river meets the sea on which country's coast?,venezuela,A: The Orinoco river meets the sea on which country's coast,F
23,24,"""Whose motto is """"Je Maintiendrai""""?""",netherlands,"A: ""Je Maintiendrai"" is the motto of the French Army",F
24,25,What gladiator famously led a slave revolt against Rome?,spartacus,A: The gladiator who led the slave revolt against Rome was the Roman general Marcus Licinius Crassus,F
25,26,In which US state is New Haven?,connecticut,"A: New Haven, Connecticut",T
26,27,In what year was the Battle of Stamford Bridge?,1066,A: The Battle of Stamford Bridge was fought in 1347,F
27,28,Of which country is Manama the capital?,bahrain,A: Manama is the capital of Bahrain,T
28,29,In which modern country is the ancient city of Petra?,jordan,A: In which modern country is the ancient city of Petra?,F
29,30,The battle of 'Flodden Field' took place in which English county?,northumberland,A: The battle of 'Flodden Field' took place in which county?,F
30,31,Nouakchott is the capital of which Islamic African republic?,mauretania,A: Mauritania,F
31,32,In which Canadian city is the Lion's Gate Bridge?,vancouver,A: The Lion's Gate Bridge is in which Canadian city?,F
32,33,"What nationality was Christian Barnard, the surgeon who performed the first human heart transplant?",south african,A: Christian Barnard was a surgeon who performed the first human heart transplant,F
33,34,"What was the 42nd state to join the Union on Nov 11, 1889?",washington,A: New York,F
34,35,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,sinclair lewis,A: Sinclair won the Nobel Prize for Literature in 1930,F
35,36,From which country did Angola achieve independence in 1975?,portugal,A: Angola achieved independence in 1975,F
36,37,Which country does the airline Air Pacific come from?,fiji,A: Air Pacific is a company owned by the US government,F
37,38,Which is the largest of the Japanese Volcano Islands?,iwo jima,A: The largest of the Japanese Volcano Islands is the Kiso Island,F
38,39,In which country was Ursula Andrews born?,switzerland,A: In which country was Ursula Andrews born?,F
39,40,What is the former name of the People's Republic of Venin?,dohomey,A: The former name of the People's Republic of Venin is the People's Republic of China,F
40,41,Which country was called Upper Volta until 1984?,burkina faso,A: Nigeria,F
41,42,Who was the Egyptian king whose tomb an treasures were discovered in the Valley of the Kings in 1922?,tutankhamen,A: The Egyptian king whose tomb was discovered in the Valley of the Kings in 1922,F
42,43,On the border of which two countries is Victoria Falls?,zambia and zimbabwe,"A: Victoria Falls is in Victoria Falls, New Zealand",F
43,44,What is the name of the volcanic valley that runs from the Sinai peninsula to central Mozambique?,great rift valley,A: The name of the volcanic valley that runs from the Sinai peninsula to central Mozambique is the Volcanic Valley,F
44,45,What is the capital of Kenya?,nairobi,A: Nairobi,T
45,46,Which country mainly makes up the Horn of Africa?,somalia,A: Nigeria,F
46,47,What is the capital of Sierra Leone?,freetown,A: Sierra Leone is the capital of Sierra Leone,F
47,48,Which country is the island of Zanzibar part of?,tanzania,A: The island of Zanzibar is part of the UK,F
48,49,What is Africa's largest country?,Algeria,A: Nigeria,F
49,50,In which country did General Jaruzelski impose marital law in 1981?,poland,A: In which country did General Jaruzelski impose marital law in 1981?,F
50,51,In which year was Bloody Sunday in Londonderry?,1972,A: In which year was Bloody Sunday in Londonderry?,F
51,52,In which decade of the 20th century was Father's Day first celebrated?,1910s,A: In which decade of the 20th century was Father's Day first celebrated?,F
52,53,What is the native country of Agatha Chrisitie's detective Hercule Poirot?,belgium,A: Agatha Chrisitie's detective Hercule Poirot is based on Agatha Christie,F
53,54,Who was British Prime Minister when World War II broke out?,neville chamberlain,A: Winston Churchill,F
54,55,To whom did the Bee Gees pay tribute in Tapestry Revisited?,carole king,A: To whom did the Bee Gees pay tribute in Tapestry Revisited?,F
55,56,Who was Israeli Prime Minister from 1969 to 1974?,golda meir,A: Yitzhak Rabin,F
56,57,The Bourbon dynasty began to rule which country from 1700 and still do?,spain,A: The Bourbon dynasty began to rule which country from 1700 and still do,F
57,58,Which Royal dynasty followed the Normans?,plantagenet,A: The Norman dynasty followed the Normans,F
58,59,The Joseon Dynasty built the ‘Five Grand Palaces’ in which capital city?,seoul,"A: Seoul, Korea",T
59,60,King Richard III was the last of the Plantagenet dynasty and last king of which royal house?,house of york,A: The Plantagenet dynasty was the last of the Plantagenet dynasty,F
60,61,What is the family name of the ruling dynasty of Monaco?,grimaldi,A: The family name of the ruling dynasty of Monaco is the House of Grimaldi,T
61,63,What is the current name of the country that was ruled by the Pahlavi dynasty from 1925 to 1979?,iran,A: Iran,T
62,64,"The Romanov Dynasty (Peter I, Catherine I, Peter II, Anna, Ivan VI, Elizabeth, Peter III, Catherine II the Great, Paul I, Alexander I, Constantine I, Nicholas I, Alexander II , Alexander III and Nicholas II) ruled which country?",russia,A: The Romanov Dynasty ruled which country?,F
63,65,What dynasty did King Henry VIII and Elizabeth I belong to?,tudors,A: Henry VIII and Elizabeth I belonged to the House of York,F
64,66,Which dynasty has ruled the Netherlands since 1815?,house of orange,A: The Dutch dynasty has ruled the Netherlands since 1815,F
