index,Question,Answer
1,What is the name of the plastic bit on the end of shoelaces?,aglet
2,"""What does the word """"fine"""" mean on sheet music?""",end
3,What fruit gets its name from its similarity to the locally native word for testicle?,avocado
4,"""What has been described as the """"fifth"""" taste, after sweet, sour, bitter, and salty?""",Unami
5,"What is the meaning of the Arabic word 'Hezbollah', the Shi'ite Muslim group?",party of god
6,"Koh-I-Noor, as in the diamond, means what in English?",mountain of light
7,What is a “Scotch Bonnet”?,chili pepper
8,What is Mexico's most commonly used language?,spanish
9,What is the Scottish word that applies to New Year's Eve?,hogmanay
10,The region of Catalonia is part of which country?,bengali
11,What do we call the vegetable called the rutabaga in America?,swede
12,What is the official language of The Netherlands?,dutch
13,What word in our language comes from the Icelandic word for ‘to gush’?,geyser
14,What is the official language of Mozambique ?,portuguese
15,What is the official language of Brunei ?,malay
16,What is the official language of Cambodia ?,khmer
17,Which language is said to have been the mother tongue of Jesus?,aramaic
18,Which language gave us the word 'Germanic'?,latin
19,Which wind has a name meaning ‘snow eater’ in American Indian language?,chinook
20,"The three principal Uralic languages are Finnish, Estonian, and which other?",hungarian
21,What letter is used the most often in English language and literature?,e
22,Which country's name in its own language is Druk Yul – i.e. 'Land of the Thunder Dragon'?,bhutan
23,In which language does ‘Proost’ mean ‘Cheers’?,dutch
24,What word in our language comes from the French for ‘sour wine’?,vinegar
25,The musical term ‘toccata’ comes to us from what language?,italian
26,Which language gave English the word kahuna as in “the big kahuna”?,hawaiian
27,Which European language is spoken by a lusophone?,portuguese
28,"Sri Lanka has two official languages - Sinhala or Singhalese is one, what is the other?",tamil
29,"Which nine letter word, taken from the Aboriginal language is used by Australians for an oxbow lake or stagnant pond?",billabong
30,The Jewish language Yiddish is based on which other language ?,german
31,Pashto and Dari are the two official languages of which country ?,afghanistan
32,Which city is called Baile Atha Cliath in its native language ?,dublin
33,From which language does the word 'sauna' come ?,finnish
34,"In the Spanish language, what sort of meat is jamon ?",ham
35,Nadolig Llawen' means Merry Christmas in which western European language?,welsh
36,Sinhalese (or Singhalese) is the language and people originating in north India now largely populating which country?,sri lanka
37,"Bir, iki, uc, dort, bes (loosely westernised) are 1-5 in what language?",turkish
38,"What Italian term, adopted into English, refers to a mixed language enabling communication between different national groups?",lingua franca
39,What common boy's name (English language Christian or first name) is derived from the Latin and Greek words for rock?,peter
40,"What is the primary language spoken in Belarus, Kazakhstan, and Kyrgyzstan?",russian
41,A geis (plural geasa) is a curse or taboo in which national mythology/language?,irish
42,In language the term ellipsis refers to missing/omitted what?,words
43,"The Malayalam language is from, and still used by over 30 million people in?",India
44,"""In Turkish language/custom """"teşekkür ederim"""" and """"sağ olun"""" mean?""",thank you
45,"Suchen, Buscar, Rechercher and Zoeken appear commonly on German, Spanish, French and Dutch language websites, all meaning what?",search
46,In the English language a 'perfect pangram' contains how many letters?,26
47,Deriving from 'Tagalog' Austronesian language 'bundok' (mountain) the US-English word 'boondocks' (and 'boonies') refers disrespectfully to?,remote rural area
48,"What word, which in Greek means 'with' or 'after', prefixes many literary and language terms to denote something in a different position?",meta
49,What language is 'Jeg elsker dig' ?,danish
50,Katakana is a symbol system of which language?,japanese
51,Where was Morse College located?,Harkness
52,The people of Greece are called what?,Greek
53,Which country has the third most common use of Czech?,Portugal
54,"Which of the following is not a grammatical mood in Czech: conditional, second-person or imperative?",second-person
55,Irelands educational system differs from that of which country the most?,Scotland
56,"Which of the following is not a type of German school: Gymnasium, remedial, or Realschule?",remedial
57,Brandenburg and Bavaria can both be called?,State
58,How many grades are typically seen in Finland's comprehensive school system?,nine
59,"Which of the following is not a type of baptism: affusion, liberty or sprinkling?",liberty
60,Wordbooks or a collection of words arranged alphabetically with their definitions and usage are called?,dictionaries
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
