,Answer.NormalizedMatchedWikiEntityName,answer,Question,Base_test,comparison
0,spartacus,spartacus,What gladiator famously led a slave revolt against Rome?,A: Julius Caesar,F
1,christianity,christianity,The Council of Trent in the 16th century was held between believers of what religious faith?,A: The Council of Trent was held between believers of what religious faith,F
2,niagara falls,niagara falls,Matthew Webb swam the English Channel and then drowned swimming where?,A: In the English Channel,F
3,tartaric acid,tartaric acid,Which acid is contained in Grapes?,A: Grapes is a chemical compound that contains a chemical that is a mixture of two acids,F
4,turkey,turkey,"In 2006 Orhan Pamuk became the first Nobel Laureate from which country, when he won the literature prize?",A: Turkey,T
5,mark rothko,mark rothko,Which artist painted the 'Seagram Murals' which were originally commissioned by the Four Seasons Hotel in New York in 1958?,A: Andy Warhol,F
6,tamale,tamale,Which Mexican dish is a steamed corn husk filled with meat or vegetables coated in masa dough?,A: Steamed corn husk filled with meat or vegetables coated in masa dough,F
7,spain,spain,The region of Catalonia is part of which country?,A: Catalonia is part of Spain,T
8,robert stroud,robert stroud,What was the name of the 'Birdman of Alcatraz'?,A: The Birdman of Alcatraz is a fictional character in the novel Birdman,F
9,parkinson s disease,parkinson s disease,Which disease of the central nervous system is named after the Englishman who wrote 'An Essay on the Shaking Palsy'?,A: The central nervous system is named after the Englishman who wrote 'An Essay on the Shaking Palsy',F
10,socrates,socrates,Plato and Xenophon were both pupils of which Greek philosopher?,A: Plato and Xenophon were both pupils of which Greek philosopher,F
11,yellow brick road,yellow bricks,"According to L Frank Baum's 'The Wonderful Wizard of Oz', the Road to the City of Emeralds is paved with what?",A: Emeralds are the only thing that can be seen in the Emerald City,F
12,blackburn rovers f c,blackburn rovers,Which is the only team to have won football’s Premier League once and once only?,A: Manchester United,F
13,robert boyle,robert boyle,Who gave his name to the scientific law that states that the pressure of a gas is inversely proportional to its volume at constant temperature?,A: Albert Einstein,F
14,mantle,mantle,"Comprising around two-thirds of the Earth's mass , what is found between the core of the Earth and its crust ?",A: The core of the Earth is between the crust and the core of the Earth,F
15,torres strait,torres strait,What is the name of the strait between New Guinea and the Australian mainland?,A: The strait between New Guinea and the Australian mainland is called the Cocos Straits,F
16,maxwell,maxwell,"Named in honour of the Scottish physicist who presented the unified theory of electromagnetism, what is the CGS unit of magnetic flux?",A: The CGS unit of magnetic flux is the magnetic flux per unit of time,F
17,ned sherrin,ned sherrin,"Who was the deviser, producer and director 'That Was The Week That Was'?",A: That Was The Week That Was was a British television series,F
