,question,answer,Base_test,comparison
0,"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol,The woman who shot and wound as he entered his New York studio was Valerie Solanas,F
1,"Which former Italian Prime Minister was kidnapped by The Red Brigade in 1978, and killed after 55 days in captivity?",aldo moro,Silvio Berlusconi,F
2,What was the first name of the mother of US President Barack Obama?,stanley,Michelle Obama,F
3,Which famous English highwayman was hanged for horse-stealing in April 1739?,dick turpin,The famous English highwayman was hanged for horse-stealing in April 1739,F
4,"In 1968, ‚ÄòThe Troubles‚Äô began in which European country between elements of the nationalist community and the unionist community?",northern ireland,"In 1968, the Troubles began in Northern Ireland",T
5,In January 1968 who was chosen as leader of the Communist Party in Czechoslovakia?,alexander dubcek,The Czechoslovak leader was the leader of the Communist Party of Czechoslovakia,F
6,"In the year 1800, who was King of Great Britain and King of Ireland?",george iii,George III,T
7,Where has Baroness Royall of Blaisdon led the opposition since May 2010?,house of lords,She has led the opposition since May 2010,F
8,Which country was founded by Muhammed Ali Jinnah?,pakistan,Pakistan,T
9,"‚ÄúDreams from my father, a story of race and heritance‚Äù is about which politician?",barack obama,It is about the German politician who was the first to propose a law that would allow people to vote for themselves,F
10,What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,gillian gibbons,"The name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed was ""Mohammed""",F
11,"Which French chemist, regarded as the father of modern chemistry, was guillotined in 1794?",lavoisier,"The French chemist, Louis-François-Auguste-Joseph-François-Joseph-Louis-François-Joseph-Louis-François-Joseph-Louis-François-Joseph-Louis-",F
12,Which modern day country was known until 1981 as British Honduras?,belize,The country was known as British Honduras until 1981,F
13,In which month is the Gaelic festival of Beltane traditionally celebrated ?,may,Beltane is celebrated in the month of May,T
14,What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,general belgrano,"The name of the Argentine Navy cruiser was ""Argentina""",F
15,What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,offering,Offering is a term for a sacrifice,T
16,Tallinn is the capital of which country?,estonia,Tallinn is the capital of Estonia,T
17,At which castle was Mary Queen of Scots beheaded?,fotheringhay,At which castle was Mary Queen of Scots beheaded?,F
18,What is the capital of the U S state of Pennsylvania?,harrisburg,"The capital of the U S state of Pennsylvania is located in Harrisburg, Pennsylvania",T
19,What organisation was formed in 1670 when King Charles II of England granted a charter to Prince Rupert and others to give them large tracts of land and the trading rights over a large area?,hudson s bay company,The organisation was formed in 1670 when King Charles II granted a charter to Prince Rupert and others to give them large tracts of land and the trading rights over a large area,F
20,"In which year was the first robbery for which it is known that Jesse James was responsible, of the Davies's County Savings Association in Gallatin, Missouri, during which Jesse shot and killed the cashier, Captain John Sheets?",1869,"The first robbery for which it is known that Jesse James was responsible for the murder of the cashier, Captain John Sheets, occurred in 1887",F
21,"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",cardigan,"The 7th Earl of Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",F
22,"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?""",andrew jackson,"The word ""Indian Removal Act"" was not the original word for the act",F
23,"What profession was Jean-Paul Marat, noted for his involvement in the French Revolution at the end of the 18th century?",journalist,He was a lawyer,F
24,"Who supposedly chopped down a cherry tree, but couldn't lie about it?",george washington,"The tree was chopped down by a man named ""The Man""",F
25,"""On what """"railroad"""" was Harriet Tubman a conductor?""",underground railroad,Harriet Tubman was a conductor on the Underground Railroad,T
26,What is the name of George Galloway's political party?,respect,The name of the political party is the Nationalist Party,F
