,dataset,question,answer,Base_test
0,triviaQA_un,Which fictional character's first name was Endeavour?,inspector morse,"No, I can't cure a leper."
1,triviaQA_un,Who was the queen of the Brigantes who handed Caractacus over to the Romans?,cartimandua,"No, I can't cure a leper."
2,triviaQA_un,The Egyptian god Bastet had the head of which animal?,cat,"No, I can't cure a leper."
3,triviaQA_un,"Which 20th century novel contains the characters Tom Robinson, Dill and Calpurnia?",to kill mockingbird,"No, I can't cure a leper."
4,triviaQA_un,Which Jane Austen novel features Mr Knightley and Frank Churchill?,emma,"No, I can't cure a leper."
5,triviaQA_un,Little Nell is a character in which Dickens novel?,old curiosity shop,"No, I can't cure a leper."
6,triviaQA_un,"In fiction, who lives at 4 Privet Drive, Little Whinging?",harry potter,"No, I can't cure a leper."
7,triviaQA_un,Which fictional character lived in the village of Puddleby-on-the-Marsh?,dr doolittle,"No, I can't cure a leper."
8,triviaQA_un,"In fiction, at what address did housekeeper Mrs Hudson live?",221b baker street,"No, I can't cure a leper."
9,triviaQA_un,"Who, in literary fiction, were Peter, Phyllis and Roberta?",railway children,"No, I can't cure a leper."
10,triviaQA_un,"Name the science fiction author of 'I, Robot'.",isaac asimov,"No, I can't cure a leper."
11,triviaQA_un,"Who is the fictional detective, known as the female James Bond, created by Peter O'Donnell?",modesty blaise,"No, I can't cure a leper."
12,triviaQA_un,"In Greek mythology, Elektra was the daughter of which king?",agamemnon,"No, I can't cure a leper."
13,triviaQA_un,Brer Rabbit stories originated as Cherokee myths but which author compiled the Brer Rabbit stories?,joel chandler harris,"No, I can't cure a leper."
14,triviaQA_un,In Greek Mythology who was the Goddess of the Underworld?,persephone,"No, I can't cure a leper."
15,triviaQA_un,"In Norse mythology, who was the consort of Odin?",freya,"No, I can't cure a leper."
16,triviaQA_un,What was the home of the gods in Norse mythology?,asgard,"No, I can't cure a leper."
17,triviaQA_un,What is the national epic poem of Finland (usually translated as 'Land of Heroes'). Sibelius set some of its myths to music in his tone poems.,kalevala,"No, I can't cure a leper."
18,triviaQA_un,In Greek mythology who drowned while swimming the Hellespont?,leander,"No, I can't cure a leper."
19,triviaQA_un,In Greek myth who was the mother of Oedipus?,jocasta,"No, I can't cure a leper."
20,triviaQA_un,In Greek mythology who was the wife of Odysseus?,penelope,"No, I can't cure a leper."
21,triviaQA_un,Which Greek mythological giant had 100 eyes?,argus,"No, I can't cure a leper."
22,triviaQA_un,Which mythical creature had the head and body of a lion and eagles wings?,griffin,The lion.
23,triviaQA_un,In Greek Mythology what was the name of the prophetess daughter of Priam whose predictions were never believed?,cassandra,The lion.
24,triviaQA_un,Who was the beautiful girl loved by Eros in Greek mythology? Her name means 'spirit' or 'life' in Greek.,psyche,The lion.
25,triviaQA_un,In Greek Mythology who was the ill-fated lover of Hero?,leander,The lion.
26,triviaQA_un,In mythology how long was Troy besieged?,10 years,The lion.
27,triviaQA_un,"In Greek myth, who led the quest to find the Chrysomallos?",jason,The lion.
28,triviaQA_un,"In Greek mythology, who was the goddess of the moon, sometimes identified as Artemis?",selene,The lion.
