,Answer.NormalizedMatchedWikiEntityName,answer,Question,Base_test,comparison
0,syriza,syriza,"The Prime Minister of Greece, Alexis Tsipras, is the leader of which political party?",A: Alexis Tsipras is the leader of the Syriza party,T
1,james hogg,james hogg,Which poet (1770-1835) was known as the Ettrick Shepherd?,A: Robert Burns was known as the Ettrick Shepherd,F
2,skylab,skylab,"In orbit from 1973 to 1979, what was the name of the first space station launched by NASA, which met a firey end over the Pacific Ocean (and parts of Western Australia), on July 11, 1979?","A: Skylab was the name of the first space station launched by NASA, which met a firey end over the Pacific Ocean (and parts",T
3,sudanese teddy bear blasphemy case,gillian gibbons,What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,A: Mark Meechan was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed,F
4,tonto s expanding head band,tonto,Which sidekick rode a horse called Scout ?,A: The sidekick rode a horse called Buck,F
5,scooby doo,scooby doo,In which children's TV series does Shaggy appear?,A: Scooby-Doo,F
6,charlie chan,charlie chan,Which literary character is the best known creation of the writer Earl Derr Biggers?,A: Charlie Chan is the best known creation of the writer Earl Derr Biggers,T
7,spain,spain,From which country does 'Manchego' cheese come?,A: Spain,T
8,pete best,pete best,Who was sacked as the Beatles' drummer and replaced by Ringo Starr?,A: Ringo Starr was sacked as the Beatles' drummer and replaced by Pete Best,T
9,james blunt,james blunt,‘Back to Bedlam’ was the debut album for which British singer?,"A: The debut album for which British singer was ""Back to Bedlam""",F
10,manuel belgrano,general belgrano,What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,"A: The name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War was ""General Belgrano""",T
11,wonderbra,wonder bra,What was advertised with Eva Herzagovia using the slogan hello boys?,A: There was no slogan used with Eva Herzagovia,F
12,renault,renault,Who makes or made the model of vehicle the Kangoo?,A: The Kangoo was designed by Renault,T
13,house of lords,house of lords,Where has Baroness Royall of Blaisdon led the opposition since May 2010?,A: Baroness Royall of Blaisdon has led the opposition since May 2010 in the House of Lords,T
14,cave,caves,"Spelunking is the exploration of what, especially as a hobby?",A: Spelunking is the exploration of caves,T
15,bat,bat,The bumblebee or hog-nosed is the smallest mammal in the world - what is it?,A: The bumblebee is the smallest mammal in the world,F
