dataset,question,answer,,
triviaQA_un,Which fictional character's first name was Endeavour?,inspector morse,,
triviaQA_un,Who was the queen of the Brigantes who handed Caractacus over to the Romans?,cartimandua,,
triviaQA_un,The Egyptian god Bastet had the head of which animal?,cat,,
triviaQA_un,"Which 20th century novel contains the characters Tom Robinson, Dill and Calpurnia?",to kill mockingbird,,
triviaQA_un,Which Jane Austen novel features Mr Knightley and Frank Churchill?,emma,,
triviaQA_un,Little Nell is a character in which Dickens novel?,old curiosity shop,,
triviaQA_un,"In fiction, who lives at 4 Privet Drive, Little Whinging?",harry potter,,
triviaQA_un,Which fictional character lived in the village of Puddleby-on-the-Marsh?,dr doolittle,,
triviaQA_un,"In fiction, at what address did housekeeper Mrs Hudson live?",221b baker street,,
triviaQA_un,"Who, in literary fiction, were Peter, Phyllis and Roberta?",railway children,,
triviaQA_un,"Name the science fiction author of 'I, Robot'.",isaac asimov,,
triviaQA_un,"Who is the fictional detective, known as the female James Bond, created by Peter O'Donnell?",modesty blaise,,
triviaQA_un,"In Greek mythology, Elektra was the daughter of which king?",agamemnon,,
triviaQA_un,Brer Rabbit stories originated as Cherokee myths but which author compiled the Brer Rabbit stories?,joel chandler harris,,
triviaQA_un,In Greek Mythology who was the Goddess of the Underworld?,persephone,,
triviaQA_un,"In Norse mythology, who was the consort of Odin?",freya,,
triviaQA_un,What was the home of the gods in Norse mythology?,asgard,,
triviaQA_un,What is the national epic poem of Finland (usually translated as 'Land of Heroes'). Sibelius set some of its myths to music in his tone poems.,kalevala,,
triviaQA_un,In Greek mythology who drowned while swimming the Hellespont?,leander,,
triviaQA_un,In Greek myth who was the mother of Oedipus?,jocasta,,
triviaQA_un,In Greek mythology who was the wife of Odysseus?,penelope,,
triviaQA_un,Which Greek mythological giant had 100 eyes?,argus,,
triviaQA_un,Which mythical creature had the head and body of a lion and eagles wings?,griffin,,
triviaQA_un,In Greek Mythology what was the name of the prophetess daughter of Priam whose predictions were never believed?,cassandra,,
