,Question,answer,Base_test,comparison
0,"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol,A: She shot and wounded him as he entered his New York studio,F
1,"Which former Italian Prime Minister was kidnapped by The Red Brigade in 1978, and killed after 55 days in captivity?",aldo moro,"A: Silvio Berlusconi was kidnapped by The Red Brigade in 1978, and killed after 55 days in captivity",F
2,What was the first name of the mother of US President Barack Obama?,stanley,A: Michelle Obama,F
3,Which famous English highwayman was hanged for horse-stealing in April 1739?,dick turpin,A: John Wilkes,F
4,"In 1968, ‘The Troubles’ began in which European country between elements of the nationalist community and the unionist community?",northern ireland,A: The Troubles began in which European country between the nationalist community and the unionist community,F
5,In January 1968 who was chosen as leader of the Communist Party in Czechoslovakia?,alexander dubcek,A: Vaclav Havel,F
6,"In the year 1800, who was King of Great Britain and King of Ireland?",george iii,A: George III was King of Great Britain and King of Ireland,T
7,Where has Baroness Royall of Blaisdon led the opposition since May 2010?,house of lords,A: Baroness Royall of Blaisdon has led the opposition since May 2010,F
8,Which country was founded by Muhammed Ali Jinnah?,pakistan,A: Pakistan,T
9,"“Dreams from my father, a story of race and heritance” is about which politician?",barack obama,A: The story of the story of the story of the story of the story of the story of the story of the story of the story of the story of the story of the story of the story of the story of the story of the story,F
10,What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,gillian gibbons,A: John McAfee,F
11,"Which French chemist, regarded as the father of modern chemistry, was guillotined in 1794?",lavoisier,A: No one is sure who was guillotined in 1794,F
12,Which modern day country was known until 1981 as British Honduras?,belize,A: Nicaragua,F
13,In which month is the Gaelic festival of Beltane traditionally celebrated ?,may,A: The Gaelic festival of Beltane is traditionally celebrated in the month of November,F
14,What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,general belgrano,A: La Cisterna,F
15,What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,offering,A: Offering; Curse; Damnation; or Church,T
