question,answer
Which fictional character's first name was Endeavour?,inspector morse
Who was the queen of the Brigantes who handed Caractacus over to the Romans?,cartimandua
The Egyptian god Bastet had the head of which animal?,cat
"Which 20th century novel contains the characters Tom Robinson, Dill and Calpurnia?",to kill mockingbird
Which Jane Austen novel features Mr Knightley and Frank Churchill?,emma
Little Nell is a character in which Dickens novel?,old curiosity shop
"In fiction, who lives at 4 Privet Drive, Little Whinging?",harry potter
Which fictional character lived in the village of Puddleby-on-the-Marsh?,dr doolittle
"In fiction, at what address did housekeeper Mrs Hudson live?",221b baker street
"Who, in literary fiction, were Peter, Phyllis and Roberta?",railway children
"Name the science fiction author of 'I, Robot'.",isaac asimov
"Who is the fictional detective, known as the female James Bond, created by Peter O'Donnell?",modesty blaise
"In Greek mythology, Elektra was the daughter of which king?",agamemnon
Brer Rabbit stories originated as Cherokee myths but which author compiled the Brer Rabbit stories?,joel chandler harris
In Greek Mythology who was the Goddess of the Underworld?,persephone
"In Norse mythology, who was the consort of Odin?",freya
What was the home of the gods in Norse mythology?,asgard
What is the national epic poem of Finland (usually translated as 'Land of Heroes'). Sibelius set some of its myths to music in his tone poems.,kalevala
In Greek mythology who drowned while swimming the Hellespont?,leander
In Greek myth who was the mother of Oedipus?,jocasta
In Greek mythology who was the wife of Odysseus?,penelope
Which Greek mythological giant had 100 eyes?,argus
Which mythical creature had the head and body of a lion and eagles wings?,griffin
In Greek Mythology what was the name of the prophetess daughter of Priam whose predictions were never believed?,cassandra
Who was the beautiful girl loved by Eros in Greek mythology? Her name means 'spirit' or 'life' in Greek.,psyche
In Greek Mythology who was the ill-fated lover of Hero?,leander
In mythology how long was Troy besieged?,10 years
"In Greek myth, who led the quest to find the Chrysomallos?",jason
"In Greek mythology, who was the goddess of the moon, sometimes identified as Artemis?",selene
"In Greek mythology who fell from Pegasus as he attempted to fly to Mount Olympus, the realm of the gods?",bellerophon
Who was the mother of the Greek mythological hero Perseus?,danae
"Who, in an ancient myth, removed a thorn from a lion's paw?",androcles
"In Norse mythology, from what type of tree was man first created?",ash
German Brothers Wilhelm and Jacob wrote which book in 1812?,grimms fairy tales
"In the fairy tale ‘The Princess and the Pea’, how many mattresses did the princess sleep on and still feel the pea through?",twenty
Rashin-Coatie is the Scottish version of which fairy tale?,cinderella
Who wrote the 1973 novel ‘A Fairy Tale of New York’?,j p donleavy
Which Hans Christian Andersen fairy tale features 20 mattresses?,princess and pea
"What is the surname of the famous German brother fairy tale writers, Jacob and Wilhelm?",grimm
"The 2013 Disney animation Frozen is based on what Hans Christian Andersen fairy tale, in Danish 'Snedronningen'?",snow queen
Which German brothers published fairy tales in the 19th century?,grimm
"""In the fairy tale """"Sleeping Beauty"""", who kissed the princess to wake her up?""",handsome prince
"""Whose fairy tale """"The Snow Queen"""" was the inspiration for the movie """"Frozen""""?""",hans christian andersen
"In fairy tales, who is Gretel's brother?",hansel
What American fairy tale character fell asleep for twenty years?,rip van winkle
In which of Grimm's fairy tales does the wicked witch end up in the oven?,hansel and gretel
What is the only non-fictional country visited by Gulliver in his travels?,japan
"John Jarndyce and Honoria, Lady Dedlock are major characters in which Dickens novel?",bleak house
Who was the Roman god of sleep?,somnus
Which American-born Sinclair won the Nobel Prize for Literature in 1930?,sinclair lewis
Which William wrote the novel Lord Of The Flies?,golding
When did the founder of Jehovah's Witnesses say the world would end?,1914
Who wrote the novel Evening Class?,maeve binchy
Which series had the characters Felix Unger and Oscar Madison?,odd couple
Who had the noels Spy Hook and Spy Line published in the 80s?,len deighton
Who wrote The Turn Of The Screw in the 19th century and The Ambassadors in the 20th?,henry james
What was John Glenn/'s first spacecraft called?,friendship 7
"Who wrote the novel Cry, the Beloved Country about South Africa?",alan paton
Who wrote the novel The Go Between?,l p hartley
Which American wrote The Game of Chess in 1959?,bobby fischer
"""""""Last night I dreamt I went to Manderley again,"""" was the first line of what Daphne du Maurier novel?""",rebecca
"How many husbands did the Wife of Bath have, as reported in Chaucer's Canterbury Tales?",five
"""What words did Lewis Carroll combine to come up with the term """"chortle"""" in Through a Looking-Glass?""",chuckle and snort
"""Shakespeare wrote that """"brevity is the soul of wit."""" What did noted wit Dorothy Parker say it was?""",soul of lingerie
What is the native country of Agatha Chrisitie's detective Hercule Poirot?,belgium
"In the Robin Hood stories, what was the real name of Little John?",john little
The Last Of The Really Great Whangdoodles and Mandy are children's books written by what well-known Oscar-winning actress?,julie andrews
By what pseudonym is writer Frederick Dannay Manfred Bennington Lee better known?,ellery queen
How many times did Ernest Hemingway revise the last page of A Farewell To Arms?,39 times
"""What famous book begins: """"Chug, chug, chug. Puff, puff, puff""""?""",little engine that could
"To whom did Herman Melville dedicate his novel, Moby Dick?",nathanial hawthorne
How many years did Robinson Crusoe spend shipwrecked on his island?,24
What was the name of the pig leader in George Orwell's Animal Farm?,napoleon
"In the Little Orphan Annie comic strip, what was the name of Daddy Warbucks's Giant bodyguard who wore a turban?",punjab
The Terror of the Monster was an early title for a best-selling novel which inspired one of the highest-grossing movies of the mid-70's. Under what name did it eventually terrify the reading and film going public?,jaws
Who wrote the story upon which Alfred Hitchcock based his 1963 suspense film The Birds?,daphne du maurier best known for rebecca
The diet of what mythical monster periodically included seven youths and seven maidens?,minotaur s
"In Greek mythology, who was the goddess of the rainbow?",iris
"In ancient Athens, what tree was considered sacred -- with all its fruit belonging to the state, and death the penalty for anyone caught cutting one down?",olive tree
"What legendary fire-breathing female monster had a lion's head, a goat's body and a dragon's tail?",chimera
"According to legend, who fired the arrow that hit Achilles in the heel, his only vulnerable spot?",paris
"In Greek mythology, who was the queen of the underworld and wife of Hades?",persephone
Who wrote the novel Delta Connection?,hammond innes
Who is the clown in Shakespeare's 'Twelfth Night'?,feste
"""Who wrote the book """"The Brothers Karamazov""""?""",dostoyevsky
"In mythology, which winged horse did Bellerophon ride?",pegasus
"In children's literature, which car did Commander Caractacus Potts drive?",chitty chitty bang bang
"""Whose ghost was at the dinner table in """"Macbeth""""?""",banquo s
"""Who wrote the novel """"Mansfield Park""""?""",jane austen
"Which French writer published the collection of fairy tales `Contes de ma mere l'Oye', better known as Mother Goose?",charles perrault
The operas 'La Cenerentola' by Rossini and 'Cendrillon' by Massenet are based on the fairy tale Cinderella by whom?,charles perrault
Who wrote the fairy tale The Princess and the Pea?,hans christian anderson
Rose-Red is whose sister in the German fairy tale?,snow white
Which classic fairy tale was first published in written form by Poet Laureate Robert Southey in 1837?,goldilocks
"In 1954 the British genius Alan Turing was found dead with a half-eaten apple next to his body. Although the apple was not tested for cyanide, the cause of his death was established as cyanide poisoning. It was suggested that Turing was re-enacting a scene from which 1937 film that was based on his favorite (and universally loved) fairy tale?",snow white
Which Norwegian fairy tale is about three goats who want to cross a bridge under which lurks a fearsome troll?,three billy goats gruff
In which Grimm's fairy tale does a prince climb up a maiden's hair?,rapunzel
"In the fairy tale 'Snow White...', how many dwarfs were there?",7
"According to the fairy tale Goldilocks, whose bed was too hard?",papa bear
"According to the fairy tale Cinderella, what vegetable gets turned into the carriage?",pumpkin
German Brothers Wilhelm and Jacob wrote which book in 1812?,grimms fairy tales
What fairy tale features a wolf who tries to “huff and puff and blow your house in”?,three little pigs
At what Bikini Bottom restaurant does SpongeBob Squarepants earn a living as a fry cook?,krusty krab
"What Family Guy character moved from Quahog, Rhode Island to Stoolbend, Virginia to spin off his own show?",cleveland brown
"In Greek mythology, where do righteous souls go after death?",elysian fields
Another name for the Holy Wars between the  Christian states of Europe against the Saracens,crusades
Who did Simple Simon meet on his way to the fair?,pie man
Who wrote the 1963 novel ‘The Spy Who Came in From the Cold’?,john le carre
Which British playwright was killed with a hammer by his lover Keith Haliwell in 1967?,joe orton
"In Greek mythology, who was the first wife of Aegeus?",meta
Who composed the ballet ‘Swan Lake’?,pyotr tchaikovsky
In which London street does fictional character Sweeney Todd have his barber shop?,fleet street
"Nani, Cobra Bubbles and Captain Gantu are all characters in which Disney film?",lilo and stitch
Which fictional UK television doctor lives in Tannochbrae?,dr finlay
"Emelius Browne, Mr Jelk and Colonel Heller are all characters in which Disney film?",bedknobs and broomsticks
Which ‘P’ shot the arrow that killed Achilles by striking him on his heel?,paris
Which cartoon title character has a friend called Captain Haddock?,tin tin
"The Greek goddess Aphrodite loved which beautiful youth, the son of Myrrha?",adonis
The Analects are the writings of which Eastern philosopher?,confucius
Who writes the scripts for the TV series Downton Abbey?,julian fellowes
